policy,accuracy,flops
Adaptive k (Cost-Aware λ=0.01),0.6555555661519369,56037.05238095238
Adaptive k (Cost-Aware λ=0.10),0.5992063482602438,48295.503174603175
Adaptive k (Cost-Aware λ=0.30),0.6333333253860474,46113.3
Adaptive k (Cost-Aware λ=1.00),0.620634933312734,31262.003174603175
Adaptive k (Entropy-Based),0.5976190567016602,30394.46984126984
Adaptive k (Learned),0.6329365173975626,61971.93015873016
Adaptive k (Margin-Based),0.5948412617047628,27441.396825396823
Fixed k=2 (Normalized C3),0.6170634826024374,56598.73333333333
Fixed k=2 (Uniform C1),0.6170634826024374,56598.73333333333
Fixed k=2 (Weighted C2),0.6170634826024374,56598.73333333333
Fixed k=3,0.6611111164093018,84024.42857142858
Fixed k=3 (Weighted),0.6611111164093018,84024.42857142858
Random Composition (Control A6),0.6119047602017721,52719.996825396825
Sequential AttnV2->Graph,0.5265873074531555,54408.0
Sequential AttnV2->MLP,0.6694444417953491,55224.0
Sequential Graph->AttnV2,0.5523809393246969,54408.0
Sequential Graph->MLP,0.5373015999794006,17040.0
Sequential MLP->Graph,0.5150793691476186,17040.0
k=1 Baseline (Phase 8B),0.5297618905703226,20399.24761904762
