family,composition,frequency
F,Graph+V1,0.5
F,Graph+V2,0.5
F,MLP+V1,0.5
F,V1+V2,0.5
R,Graph+V1,1.0
R,Graph+MLP,0.9
R,MLP+V2,0.1
R,MLP+V1,0.008333333333333333
R,V1+V2,0.9916666666666667
C,Graph+V1,0.18333333333333332
C,Graph+V2,0.6625
C,Graph+MLP,0.49166666666666664
C,V1+V2,1.0
FR,Graph+V1,0.7166666666666667
FR,Graph+V2,0.275
FR,Graph+MLP,0.26666666666666666
FR,MLP+V2,0.4666666666666667
FR,MLP+V1,0.5
FR,V1+V2,0.5
RC,Graph+V1,0.14166666666666666
RC,Graph+V2,0.6208333333333333
RC,Graph+MLP,0.6166666666666667
RC,V1+V2,1.0
FC,Graph+V1,0.21666666666666667
FC,Graph+V2,0.6125
FC,Graph+MLP,0.5583333333333333
FC,V1+V2,1.0
FRC,Graph+V1,0.15833333333333333
FRC,Graph+V2,0.6125
FRC,Graph+MLP,0.6166666666666667
FRC,V1+V2,1.0
