seed,sample_id,policy,family,active_k,selected_experts,target,predicted,correct
11,0,k=1 Baseline (Phase 8B),FC,1,graph,0,0,True
11,1,k=1 Baseline (Phase 8B),C,1,graph,1,0,False
11,2,k=1 Baseline (Phase 8B),C,1,graph,1,0,False
11,3,k=1 Baseline (Phase 8B),RC,1,graph,1,0,False
11,4,k=1 Baseline (Phase 8B),FC,1,graph,1,0,False
11,5,k=1 Baseline (Phase 8B),F,1,attention,1,0,False
11,6,k=1 Baseline (Phase 8B),FC,1,graph,0,0,True
11,7,k=1 Baseline (Phase 8B),F,1,graph,1,1,True
11,8,k=1 Baseline (Phase 8B),FC,1,graph,0,0,True
11,9,k=1 Baseline (Phase 8B),FRC,1,graph,1,0,False
11,10,k=1 Baseline (Phase 8B),RC,1,graph,1,0,False
11,11,k=1 Baseline (Phase 8B),RC,1,graph,0,0,True
11,12,k=1 Baseline (Phase 8B),R,1,graph,0,0,True
11,13,k=1 Baseline (Phase 8B),F,1,graph,1,1,True
11,14,k=1 Baseline (Phase 8B),C,1,graph,1,0,False
11,15,k=1 Baseline (Phase 8B),C,1,graph,0,0,True
11,16,k=1 Baseline (Phase 8B),FR,1,attention,1,1,True
11,17,k=1 Baseline (Phase 8B),C,1,graph,0,0,True
11,18,k=1 Baseline (Phase 8B),RC,1,graph,0,0,True
11,19,k=1 Baseline (Phase 8B),FRC,1,graph,1,0,False
11,20,k=1 Baseline (Phase 8B),FR,1,graph,0,1,False
11,21,k=1 Baseline (Phase 8B),R,1,graph,0,1,False
11,22,k=1 Baseline (Phase 8B),R,1,graph,1,1,True
11,23,k=1 Baseline (Phase 8B),RC,1,graph,0,0,True
11,24,k=1 Baseline (Phase 8B),RC,1,graph,0,0,True
11,25,k=1 Baseline (Phase 8B),R,1,graph,1,1,True
11,26,k=1 Baseline (Phase 8B),FRC,1,graph,0,0,True
11,27,k=1 Baseline (Phase 8B),C,1,graph,0,0,True
11,28,k=1 Baseline (Phase 8B),FR,1,attention,1,0,False
11,29,k=1 Baseline (Phase 8B),C,1,graph,0,0,True
11,30,k=1 Baseline (Phase 8B),C,1,graph,0,0,True
11,31,k=1 Baseline (Phase 8B),FR,1,graph,0,1,False
11,32,k=1 Baseline (Phase 8B),F,1,graph,1,1,True
11,33,k=1 Baseline (Phase 8B),FC,1,graph,1,0,False
11,34,k=1 Baseline (Phase 8B),FRC,1,graph,1,0,False
11,35,k=1 Baseline (Phase 8B),FRC,1,graph,1,1,True
11,36,k=1 Baseline (Phase 8B),FRC,1,graph,1,0,False
11,37,k=1 Baseline (Phase 8B),FR,1,attention,0,0,True
11,38,k=1 Baseline (Phase 8B),F,1,graph,0,1,False
11,39,k=1 Baseline (Phase 8B),FC,1,graph,1,0,False
11,0,Fixed k=2 (Uniform C1),FC,2,graph+attention_v2,0,0,True
11,1,Fixed k=2 (Uniform C1),C,2,graph+attention,1,0,False
11,2,Fixed k=2 (Uniform C1),C,2,graph+attention,1,0,False
11,3,Fixed k=2 (Uniform C1),RC,2,graph+attention_v2,1,1,True
11,4,Fixed k=2 (Uniform C1),FC,2,graph+attention_v2,1,0,False
11,5,Fixed k=2 (Uniform C1),F,2,attention+graph,1,1,True
11,6,Fixed k=2 (Uniform C1),FC,2,graph+attention_v2,0,0,True
11,7,Fixed k=2 (Uniform C1),F,2,graph+attention_v2,1,0,False
