seed,policy,k_policy,aggregation,overall_accuracy,pure_accuracy,mixed_accuracy,mean_flops,active_experts,composition_entropy,acc_F,acc_R,acc_C,acc_FR,acc_RC,acc_FC,acc_FRC,strategy,lambda,p_k1,p_k2,p_k3,k_entropy
11,k=1 Baseline (Phase 8B),fixed_k=1,uniform,0.526190459728241,0.5166666706403097,0.5333333313465118,11312.342857142858,1.0,0.36235945908070755,0.3083333373069763,0.7416666746139526,0.5,0.5083333253860474,0.6083333492279053,0.49166667461395264,0.5249999761581421,,,,,,
11,Fixed k=2 (Uniform C1),fixed_k=2,uniform,0.6059523820877075,0.7194444338480631,0.5208333283662796,52498.0,2.0,0.9798687566511528,0.574999988079071,0.699999988079071,0.8833333253860474,0.3583333194255829,0.5249999761581421,0.46666666865348816,0.7333333492279053,,,,,,
11,Fixed k=2 (Weighted C2),fixed_k=2,weighted,0.6059523820877075,0.7194444338480631,0.5208333283662796,52498.0,2.0,0.9798687566511528,0.574999988079071,0.699999988079071,0.8833333253860474,0.3583333194255829,0.5249999761581421,0.46666666865348816,0.7333333492279053,,,,,,
11,Fixed k=2 (Normalized C3),fixed_k=2,normalized,0.6059523820877075,0.7194444338480631,0.5208333283662796,52498.0,2.0,0.9798687566511528,0.574999988079071,0.699999988079071,0.8833333253860474,0.3583333194255829,0.5249999761581421,0.46666666865348816,0.7333333492279053,,,,,,
11,Fixed k=3,fixed_k=3,uniform,0.6357142925262451,0.7416666547457377,0.5562499985098839,91392.54285714286,3.0,0.42605304686494266,0.5916666388511658,0.6333333253860474,1.0,0.4000000059604645,0.5166666507720947,0.5,0.8083333373069763,,,,,,
11,Fixed k=3 (Weighted),fixed_k=3,weighted,0.6357142925262451,0.7416666547457377,0.5562499985098839,91392.54285714286,3.0,0.42605304686494266,0.5916666388511658,0.6333333253860474,1.0,0.4000000059604645,0.5166666507720947,0.5,0.8083333373069763,,,,,,
11,Sequential Graph->MLP,sequential_k=2,sequential_chain,0.598809540271759,0.6333333253860474,0.5729166716337204,17040.0,2.0,0.0,0.75,0.625,0.5249999761581421,0.6833333373069763,0.5583333373069763,0.5166666507720947,0.5333333611488342,,,,,,
11,Sequential MLP->Graph,sequential_k=2,sequential_chain,0.5035714507102966,0.5083333353201548,0.5,17040.0,2.0,0.0,0.4000000059604645,0.6166666746139526,0.5083333253860474,0.38333332538604736,0.6000000238418579,0.5,0.5166666507720947,,,,,,
11,Sequential AttnV2->MLP,sequential_k=2,sequential_chain,0.7178571224212646,0.8333333333333334,0.6312499940395355,55224.0,2.0,0.0,1.0,0.5916666388511658,0.9083333611488342,0.75,0.5,0.5,0.7749999761581421,,,,,,
11,Sequential Graph->AttnV2,sequential_k=2,sequential_chain,0.5833333134651184,0.600000003973643,0.5708333402872086,54408.0,2.0,0.0,0.5,0.49166667461395264,0.8083333373069763,0.574999988079071,0.49166667461395264,0.5333333611488342,0.6833333373069763,,,,,,
11,Sequential AttnV2->Graph,sequential_k=2,sequential_chain,0.5226190686225891,0.5,0.5395833253860474,54408.0,2.0,0.0,0.5,0.5,0.5,0.550000011920929,0.5916666388511658,0.49166667461395264,0.5249999761581421,,,,,,
11,Adaptive k (Learned),,,0.6571428775787354,0.7388888796170553,0.5958333387970924,60411.409523809525,2.9309523809523808,1.3795208105789663,0.8999999761581421,0.6083333492279053,0.7083333134651184,0.675000011920929,0.5666666626930237,0.4833333194255829,0.6583333611488342,learned,0.0,0.0,0.06904761904761905,0.930952380952381,0.36235945908070755
11,Adaptive k (Cost-Aware λ=0.01),,,0.625,0.7027777830759684,0.5666666701436043,38510.39523809524,2.413095238095238,1.7631983829335685,1.0,0.6583333611488342,0.44999998807907104,0.675000011920929,0.5666666626930237,0.4833333194255829,0.5416666865348816,learned,0.01,0.0,0.5869047619047619,0.41309523809523807,0.9780972031673525
11,Adaptive k (Cost-Aware λ=0.10),,,0.5964285731315613,0.6611110965410868,0.5479166656732559,59766.8,3.0,0.934068055375491,0.8999999761581421,0.6416666507720947,0.4416666626930237,0.6166666746139526,0.5583333373069763,0.5083333253860474,0.5083333253860474,learned,0.1,0.0,0.0,1.0,0.0
11,Adaptive k (Cost-Aware λ=0.30),,,0.7071428298950195,0.8444444338480631,0.6041666567325592,59994.89523809524,2.8380952380952382,0.4055261057899547,0.8999999761581421,0.6416666507720947,0.9916666746139526,0.5916666388511658,0.5166666507720947,0.5,0.8083333373069763,learned,0.3,0.08095238095238096,0.0,0.919047619047619,0.4055261057899547
11,Adaptive k (Cost-Aware λ=1.00),,,0.6833333373069763,0.774999996026357,0.6145833432674408,62729.65714285714,2.857142857142857,0.6949603732825571,0.6916666626930237,0.6416666507720947,0.9916666746139526,0.6166666746139526,0.5333333611488342,0.5,0.8083333373069763,learned,1.0,0.03571428571428571,0.07142857142857142,0.8928571428571429,0.5896261811873141
11,Adaptive k (Entropy-Based),,,0.598809540271759,0.6805555522441864,0.5374999940395355,12711.028571428571,1.0714285714285714,0.6859142270736225,1.0,0.5583333373069763,0.4833333194255829,0.7416666746139526,0.40833333134651184,0.4749999940395355,0.5249999761581421,entropy,0.0,0.9285714285714286,0.07142857142857142,0.0,0.37123232664087563
11,Adaptive k (Margin-Based),,,0.598809540271759,0.6805555522441864,0.5374999940395355,12138.938095238096,1.0202380952380952,0.4090964116359899,1.0,0.5583333373069763,0.4833333194255829,0.7416666746139526,0.40833333134651184,0.4749999940395355,0.5249999761581421,margin,0.0,0.986904761904762,0.005952380952380952,0.007142857142857143,0.11369353060809778
11,Random Composition (Control A6),,,0.598809540271759,0.6722222169240316,0.543749988079071,52856.73333333333,1.9833333333333334,3.7786044003042782,0.6416666507720947,0.6000000238418579,0.7749999761581421,0.5916666388511658,0.4416666626930237,0.5,0.6416666507720947,random,0.0,0.33690476190476193,0.34285714285714286,0.3202380952380952,1.5843644954464315
23,k=1 Baseline (Phase 8B),fixed_k=1,uniform,0.5559523701667786,0.5916666785875956,0.5291666612029076,9466.228571428572,1.0,0.947135153666973,0.75,0.49166667461395264,0.5333333611488342,0.6333333253860474,0.5083333253860474,0.5,0.4749999940395355,,,,,,
23,Fixed k=2 (Uniform C1),fixed_k=2,uniform,0.5845237970352173,0.5916666587193807,0.5791666656732559,36156.97142857143,2.0,1.8560972167731982,0.5,0.5583333373069763,0.7166666388511658,0.6583333611488342,0.5083333253860474,0.5833333134651184,0.5666666626930237,,,,,,
23,Fixed k=2 (Weighted C2),fixed_k=2,weighted,0.5845237970352173,0.5916666587193807,0.5791666656732559,36156.97142857143,2.0,1.8560972167731982,0.5,0.5583333373069763,0.7166666388511658,0.6583333611488342,0.5083333253860474,0.5833333134651184,0.5666666626930237,,,,,,
23,Fixed k=2 (Normalized C3),fixed_k=2,normalized,0.5845237970352173,0.5916666587193807,0.5791666656732559,36156.97142857143,2.0,1.8560972167731982,0.5,0.5583333373069763,0.7166666388511658,0.6583333611488342,0.5083333253860474,0.5833333134651184,0.5666666626930237,,,,,,
23,Fixed k=3,fixed_k=3,uniform,0.6535714268684387,0.6972222328186035,0.6208333224058151,68827.57142857143,3.0,0.9838026933043363,0.5,0.6000000238418579,0.9916666746139526,0.6333333253860474,0.5166666507720947,0.5083333253860474,0.824999988079071,,,,,,
23,Fixed k=3 (Weighted),fixed_k=3,weighted,0.6535714268684387,0.6972222328186035,0.6208333224058151,68827.57142857143,3.0,0.9838026933043363,0.5,0.6000000238418579,0.9916666746139526,0.6333333253860474,0.5166666507720947,0.5083333253860474,0.824999988079071,,,,,,
