seed,method,control,accuracy
11,raw,without_mlp,0.5392857193946838
11,raw,without_graph,0.598809540271759
11,weighted_router,without_mlp,0.5392857193946838
11,weighted_router,without_graph,0.598809540271759
11,concat_linear,without_mlp,0.5392857193946838
11,concat_linear,without_graph,0.598809540271759
11,residual,without_mlp,0.5392857193946838
11,residual,without_graph,0.598809540271759
11,concat_only_pooled,without_mlp,0.5392857193946838
11,concat_only_pooled,without_graph,0.598809540271759
23,raw,without_mlp,0.5785714387893677
23,raw,without_graph,0.6071428656578064
23,weighted_router,without_mlp,0.5785714387893677
23,weighted_router,without_graph,0.6071428656578064
23,concat_linear,without_mlp,0.5785714387893677
23,concat_linear,without_graph,0.6071428656578064
23,residual,without_mlp,0.5785714387893677
23,residual,without_graph,0.6071428656578064
23,concat_only_pooled,without_mlp,0.5785714387893677
23,concat_only_pooled,without_graph,0.6071428656578064
37,raw,without_mlp,0.5571428537368774
37,raw,without_graph,0.5964285731315613
37,weighted_router,without_mlp,0.5571428537368774
37,weighted_router,without_graph,0.5964285731315613
37,concat_linear,without_mlp,0.5571428537368774
37,concat_linear,without_graph,0.5964285731315613
37,residual,without_mlp,0.5571428537368774
37,residual,without_graph,0.5964285731315613
37,concat_only_pooled,without_mlp,0.5571428537368774
37,concat_only_pooled,without_graph,0.5964285731315613
