seed,combo,k,overall,mean_flops,acc_F,acc_R,acc_C,acc_FR,acc_RC,acc_FC,acc_FRC
11,mlp,1,0.598809540271759,9984.0,1.0,0.5583333373069763,0.4833333194255829,0.7416666746139526,0.40833333134651184,0.4749999940395355,0.5249999761581421
11,graph,1,0.5392857193946838,9168.0,0.5,0.7416666746139526,0.5,0.40833333134651184,0.6083333492279053,0.49166667461395264,0.5249999761581421
11,attention_v2,1,0.6166666746139526,47352.0,0.5249999761581421,0.5416666865348816,1.0,0.4166666567325592,0.5166666507720947,0.5083333253860474,0.8083333373069763
11,mlp+graph,2,0.6059523820877075,18100.0,0.75,0.800000011920929,0.46666666865348816,0.6166666746139526,0.574999988079071,0.49166667461395264,0.5416666865348816
11,graph+mlp,2,0.6059523820877075,18100.0,0.75,0.800000011920929,0.46666666865348816,0.6166666746139526,0.574999988079071,0.49166667461395264,0.5416666865348816
11,mlp+attention_v2,2,0.6773809790611267,56284.0,0.7583333253860474,0.5583333373069763,0.9916666746139526,0.6166666746139526,0.5083333253860474,0.5,0.8083333373069763
11,attention_v2+mlp,2,0.6773809790611267,56284.0,0.7583333253860474,0.5583333373069763,0.9916666746139526,0.6166666746139526,0.5083333253860474,0.5,0.8083333373069763
11,graph+attention_v2,2,0.5976190567016602,55468.0,0.3583333194255829,0.6333333253860474,1.0,0.36666667461395264,0.5166666507720947,0.5,0.8083333373069763
11,attention_v2+graph,2,0.5976190567016602,55468.0,0.3583333194255829,0.6333333253860474,1.0,0.36666667461395264,0.5166666507720947,0.5,0.8083333373069763
11,mlp+graph+attention_v2,3,0.6726190447807312,64400.0,0.6916666626930237,0.6416666507720947,1.0,0.550000011920929,0.5166666507720947,0.5,0.8083333373069763
23,mlp,1,0.6071428656578064,9984.0,1.0,0.49166667461395264,0.5166666507720947,0.7333333492279053,0.5,0.5333333611488342,0.4749999940395355
23,graph,1,0.5785714387893677,9168.0,0.5,0.7833333611488342,0.5083333253860474,0.6916666626930237,0.5583333373069763,0.5083333253860474,0.5
23,attention_v2,1,0.6297619342803955,47352.0,0.5416666865348816,0.49166667461395264,0.9916666746139526,0.5249999761581421,0.5083333253860474,0.5166666507720947,0.8333333134651184
23,mlp+graph,2,0.6071428656578064,18100.0,1.0,0.5583333373069763,0.49166667461395264,0.7166666388511658,0.5,0.5249999761581421,0.4583333432674408
23,graph+mlp,2,0.6071428656578064,18100.0,1.0,0.5583333373069763,0.49166667461395264,0.7166666388511658,0.5,0.5249999761581421,0.4583333432674408
23,mlp+attention_v2,2,0.6857143044471741,56284.0,0.75,0.5249999761581421,0.9916666746139526,0.675000011920929,0.5166666507720947,0.5083333253860474,0.8333333134651184
23,attention_v2+mlp,2,0.6857143044471741,56284.0,0.75,0.5249999761581421,0.9916666746139526,0.675000011920929,0.5166666507720947,0.5083333253860474,0.8333333134651184
23,graph+attention_v2,2,0.6416666507720947,55468.0,0.5,0.5416666865348816,0.9916666746139526,0.6083333492279053,0.5083333253860474,0.5083333253860474,0.8333333134651184
23,attention_v2+graph,2,0.6416666507720947,55468.0,0.5,0.5416666865348816,0.9916666746139526,0.6083333492279053,0.5083333253860474,0.5083333253860474,0.8333333134651184
23,mlp+graph+attention_v2,3,0.6904761791229248,64400.0,0.7416666746139526,0.6000000238418579,0.9916666746139526,0.6499999761581421,0.5166666507720947,0.5083333253860474,0.824999988079071
37,mlp,1,0.5964285731315613,9984.0,1.0,0.49166667461395264,0.5,0.7749999761581421,0.4000000059604645,0.5,0.5083333253860474
37,graph,1,0.5571428537368774,9168.0,0.75,0.6916666626930237,0.4833333194255829,0.5416666865348816,0.44999998807907104,0.4166666567325592,0.5666666626930237
37,attention_v2,1,0.6464285850524902,47352.0,0.46666666865348816,0.6000000238418579,1.0,0.5916666388511658,0.5916666388511658,0.5,0.7749999761581421
37,mlp+graph,2,0.538095235824585,18100.0,0.75,0.5416666865348816,0.5083333253860474,0.5416666865348816,0.40833333134651184,0.5,0.5166666507720947
37,graph+mlp,2,0.538095235824585,18100.0,0.75,0.5416666865348816,0.5083333253860474,0.5416666865348816,0.40833333134651184,0.5,0.5166666507720947
37,mlp+attention_v2,2,0.6845238208770752,56284.0,0.625,0.5833333134651184,1.0,0.7083333134651184,0.5916666388511658,0.5,0.7833333611488342
37,attention_v2+mlp,2,0.6845238208770752,56284.0,0.625,0.5833333134651184,1.0,0.7083333134651184,0.5916666388511658,0.5,0.7833333611488342
37,graph+attention_v2,2,0.6107142567634583,55468.0,0.25,0.625,1.0,0.5333333611488342,0.5916666388511658,0.5,0.7749999761581421
37,attention_v2+graph,2,0.6107142567634583,55468.0,0.25,0.625,1.0,0.5333333611488342,0.5916666388511658,0.5,0.7749999761581421
37,mlp+graph+attention_v2,3,0.6761904954910278,64400.0,0.6333333253860474,0.625,1.0,0.6000000238418579,0.5916666388511658,0.5,0.7833333611488342
