seed,expert,stage,task,probe_overall,class_0,class_1
11,mlp,input,sf,0.5404762029647827,0.526190459728241,0.5547618865966797
11,mlp,input,sr,0.5285714268684387,0.6604651212692261,0.39024388790130615
11,mlp,input,sc,0.6261904835700989,0.6476190686225891,0.6047618985176086
11,mlp,input,final_target,0.5571428537368774,0.6395348906517029,0.4707317054271698
11,mlp,after_encoder,sf,0.5369047522544861,0.5333333611488342,0.5404762029647827
11,mlp,after_encoder,sr,0.5214285850524902,0.6581395268440247,0.37804877758026123
11,mlp,after_encoder,sc,0.636904776096344,0.6476190686225891,0.6261904835700989
11,mlp,after_encoder,final_target,0.5595238208770752,0.6441860198974609,0.4707317054271698
11,mlp,after_blocks,sf,0.6642857193946838,0.6499999761581421,0.6785714030265808
11,mlp,after_blocks,sr,0.5285714268684387,0.6488372087478638,0.40243902802467346
11,mlp,after_blocks,sc,0.6380952596664429,0.6261904835700989,0.6499999761581421
11,mlp,after_blocks,final_target,0.6345238089561462,0.6720930337905884,0.5951219797134399
11,graph,input,sf,0.5404762029647827,0.526190459728241,0.5547618865966797
11,graph,input,sr,0.5285714268684387,0.6604651212692261,0.39024388790130615
11,graph,input,sc,0.6261904835700989,0.6476190686225891,0.6047618985176086
11,graph,input,final_target,0.5571428537368774,0.6395348906517029,0.4707317054271698
11,graph,after_encoder,sf,0.5369047522544861,0.5309523940086365,0.5428571701049805
11,graph,after_encoder,sr,0.5214285850524902,0.6511628031730652,0.3853658437728882
11,graph,after_encoder,sc,0.6357142925262451,0.6476190686225891,0.6238095164299011
11,graph,after_encoder,final_target,0.5607143044471741,0.6441860198974609,0.4731707274913788
11,graph,after_blocks,sf,0.675000011920929,0.711904764175415,0.6380952596664429
11,graph,after_blocks,sr,0.5821428298950195,0.6534883975982666,0.507317066192627
11,graph,after_blocks,sc,0.6738095283508301,0.6785714030265808,0.6690475940704346
11,graph,after_blocks,final_target,0.6440476179122925,0.7116279006004333,0.5731707215309143
11,attention,input,sf,0.5404762029647827,0.526190459728241,0.5547618865966797
11,attention,input,sr,0.5285714268684387,0.6604651212692261,0.39024388790130615
11,attention,input,sc,0.6261904835700989,0.6476190686225891,0.6047618985176086
11,attention,input,final_target,0.5571428537368774,0.6395348906517029,0.4707317054271698
11,attention,after_encoder,sf,0.5392857193946838,0.538095235824585,0.5404762029647827
11,attention,after_encoder,sr,0.523809552192688,0.6604651212692261,0.3804877996444702
11,attention,after_encoder,sc,0.6357142925262451,0.6476190686225891,0.6238095164299011
11,attention,after_encoder,final_target,0.5607143044471741,0.6441860198974609,0.4731707274913788
11,attention,after_blocks,sf,0.5345237851142883,0.5357142686843872,0.5333333611488342
11,attention,after_blocks,sr,0.5357142686843872,0.6837209463119507,0.3804877996444702
11,attention,after_blocks,sc,0.6357142925262451,0.6380952596664429,0.6333333253860474
11,attention,after_blocks,final_target,0.5726190209388733,0.6511628031730652,0.49024391174316406
11,attention_v2,input,sf,0.5404762029647827,0.526190459728241,0.5547618865966797
11,attention_v2,input,sr,0.5285714268684387,0.6604651212692261,0.39024388790130615
11,attention_v2,input,sc,0.6261904835700989,0.6476190686225891,0.6047618985176086
11,attention_v2,input,final_target,0.5571428537368774,0.6395348906517029,0.4707317054271698
11,attention_v2,after_encoder,sf,0.538095235824585,0.5357142686843872,0.5404762029647827
11,attention_v2,after_encoder,sr,0.5309523940086365,0.6604651212692261,0.3951219618320465
11,attention_v2,after_encoder,sc,0.6380952596664429,0.6476190686225891,0.6285714507102966
11,attention_v2,after_encoder,final_target,0.5595238208770752,0.6418604850769043,0.4731707274913788
11,attention_v2,after_blocks,sf,0.563095211982727,0.5547618865966797,0.5714285969734192
11,attention_v2,after_blocks,sr,0.5535714030265808,0.6441860198974609,0.4585365951061249
11,attention_v2,after_blocks,sc,0.9142857193946838,0.8999999761581421,0.9285714030265808
11,attention_v2,after_blocks,final_target,0.6559523940086365,0.669767439365387,0.6414633989334106
23,mlp,input,sf,0.5416666865348816,0.5595238208770752,0.523809552192688
23,mlp,input,sr,0.5440475940704346,0.5971564054489136,0.490430623292923
23,mlp,input,sc,0.6547619104385376,0.6642857193946838,0.6452381014823914
23,mlp,input,final_target,0.574999988079071,0.5544794201850891,0.5948477983474731
23,mlp,after_encoder,sf,0.5428571701049805,0.5452380776405334,0.5404762029647827
23,mlp,after_encoder,sr,0.5416666865348816,0.5663506984710693,0.5167464017868042
23,mlp,after_encoder,sc,0.6607142686843872,0.6690475940704346,0.6523809432983398
23,mlp,after_encoder,final_target,0.5535714030265808,0.5108959078788757,0.5948477983474731
23,mlp,after_blocks,sf,0.6726190447807312,0.6952381134033203,0.6499999761581421
23,mlp,after_blocks,sr,0.5559523701667786,0.5829383730888367,0.5287081599235535
23,mlp,after_blocks,sc,0.6476190686225891,0.6476190686225891,0.6476190686225891
23,mlp,after_blocks,final_target,0.6404761672019958,0.63922518491745,0.641686201095581
23,graph,input,sf,0.5416666865348816,0.5595238208770752,0.523809552192688
23,graph,input,sr,0.5440475940704346,0.5971564054489136,0.490430623292923
23,graph,input,sc,0.6547619104385376,0.6642857193946838,0.6452381014823914
23,graph,input,final_target,0.574999988079071,0.5544794201850891,0.5948477983474731
23,graph,after_encoder,sf,0.5440475940704346,0.5404762029647827,0.5476190447807312
23,graph,after_encoder,sr,0.538095235824585,0.571090042591095,0.5047847032546997
23,graph,after_encoder,sc,0.6595237851142883,0.6571428775787354,0.6619047522544861
23,graph,after_encoder,final_target,0.5559523701667786,0.5133171677589417,0.597189724445343
23,graph,after_blocks,sf,0.6761904954910278,0.6976190209388733,0.6547619104385376
23,graph,after_blocks,sr,0.586904764175415,0.5829383730888367,0.5909090638160706
23,graph,after_blocks,sc,0.6726190447807312,0.6928571462631226,0.6523809432983398
23,graph,after_blocks,final_target,0.6499999761581421,0.7167070508003235,0.5854800939559937
23,attention,input,sf,0.5416666865348816,0.5595238208770752,0.523809552192688
23,attention,input,sr,0.5440475940704346,0.5971564054489136,0.490430623292923
23,attention,input,sc,0.6547619104385376,0.6642857193946838,0.6452381014823914
23,attention,input,final_target,0.574999988079071,0.5544794201850891,0.5948477983474731
23,attention,after_encoder,sf,0.5452380776405334,0.5476190447807312,0.5428571701049805
23,attention,after_encoder,sr,0.5416666865348816,0.5687204003334045,0.5143540501594543
23,attention,after_encoder,sc,0.6607142686843872,0.6690475940704346,0.6523809432983398
23,attention,after_encoder,final_target,0.5535714030265808,0.5133171677589417,0.5925058722496033
23,attention,after_blocks,sf,0.5464285612106323,0.5476190447807312,0.5452380776405334
23,attention,after_blocks,sr,0.550000011920929,0.5616113543510437,0.5382775068283081
23,attention,after_blocks,sc,0.6583333611488342,0.6428571343421936,0.6738095283508301
23,attention,after_blocks,final_target,0.5726190209388733,0.5351089835166931,0.6088992953300476
23,attention_v2,input,sf,0.5416666865348816,0.5595238208770752,0.523809552192688
23,attention_v2,input,sr,0.5440475940704346,0.5971564054489136,0.490430623292923
23,attention_v2,input,sc,0.6547619104385376,0.6642857193946838,0.6452381014823914
23,attention_v2,input,final_target,0.574999988079071,0.5544794201850891,0.5948477983474731
23,attention_v2,after_encoder,sf,0.5476190447807312,0.550000011920929,0.5452380776405334
23,attention_v2,after_encoder,sr,0.5404762029647827,0.5687204003334045,0.5119616985321045
23,attention_v2,after_encoder,sc,0.6583333611488342,0.6642857193946838,0.6523809432983398
23,attention_v2,after_encoder,final_target,0.5523809790611267,0.508474588394165,0.5948477983474731
23,attention_v2,after_blocks,sf,0.5309523940086365,0.5452380776405334,0.5166666507720947
23,attention_v2,after_blocks,sr,0.5702381134033203,0.5829383730888367,0.5574162602424622
23,attention_v2,after_blocks,sc,0.9285714030265808,0.9166666865348816,0.9404761791229248
23,attention_v2,after_blocks,final_target,0.6654762029647827,0.65617436170578,0.6744730472564697
37,mlp,input,sf,0.5273809432983398,0.5476190447807312,0.5071428418159485
37,mlp,input,sr,0.5464285612106323,0.5629453659057617,0.5298329591751099
37,mlp,input,sc,0.6476190686225891,0.6380952596664429,0.6571428775787354
37,mlp,input,final_target,0.5666666626930237,0.406862735748291,0.7175925970077515
37,mlp,after_encoder,sf,0.5369047522544861,0.5476190447807312,0.526190459728241
37,mlp,after_encoder,sr,0.5428571701049805,0.5486935973167419,0.5369928479194641
37,mlp,after_encoder,sc,0.6428571343421936,0.6380952596664429,0.6476190686225891
37,mlp,after_encoder,final_target,0.5583333373069763,0.44607841968536377,0.6643518805503845
37,mlp,after_blocks,sf,0.663095235824585,0.7357142567634583,0.5904762148857117
37,mlp,after_blocks,sr,0.5488095283508301,0.529691219329834,0.5680190920829773
37,mlp,after_blocks,sc,0.663095235824585,0.6547619104385376,0.6714285612106323
37,mlp,after_blocks,final_target,0.6452381014823914,0.5735294222831726,0.7129629850387573
37,graph,input,sf,0.5273809432983398,0.5476190447807312,0.5071428418159485
37,graph,input,sr,0.5464285612106323,0.5629453659057617,0.5298329591751099
37,graph,input,sc,0.6476190686225891,0.6380952596664429,0.6571428775787354
37,graph,input,final_target,0.5666666626930237,0.406862735748291,0.7175925970077515
37,graph,after_encoder,sf,0.5345237851142883,0.5476190447807312,0.5214285850524902
37,graph,after_encoder,sr,0.5416666865348816,0.5558194518089294,0.5274463295936584
37,graph,after_encoder,sc,0.6440476179122925,0.6380952596664429,0.6499999761581421
37,graph,after_encoder,final_target,0.5595238208770752,0.44607841968536377,0.6666666865348816
37,graph,after_blocks,sf,0.6738095283508301,0.6476190686225891,0.699999988079071
37,graph,after_blocks,sr,0.5928571224212646,0.6223278045654297,0.5632458329200745
37,graph,after_blocks,sc,0.6666666865348816,0.6976190209388733,0.6357142925262451
37,graph,after_blocks,final_target,0.663095235824585,0.6323529481887817,0.6921296119689941
37,attention,input,sf,0.5273809432983398,0.5476190447807312,0.5071428418159485
37,attention,input,sr,0.5464285612106323,0.5629453659057617,0.5298329591751099
37,attention,input,sc,0.6476190686225891,0.6380952596664429,0.6571428775787354
37,attention,input,final_target,0.5666666626930237,0.406862735748291,0.7175925970077515
37,attention,after_encoder,sf,0.5345237851142883,0.550000011920929,0.5190476179122925
37,attention,after_encoder,sr,0.5440475940704346,0.5486935973167419,0.5393794775009155
37,attention,after_encoder,sc,0.6440476179122925,0.6380952596664429,0.6499999761581421
37,attention,after_encoder,final_target,0.5571428537368774,0.4436274468898773,0.6643518805503845
37,attention,after_blocks,sf,0.5357142686843872,0.5571428537368774,0.5142857432365417
37,attention,after_blocks,sr,0.5547618865966797,0.5581947565078735,0.5513126254081726
37,attention,after_blocks,sc,0.6464285850524902,0.6404761672019958,0.6523809432983398
37,attention,after_blocks,final_target,0.5714285969734192,0.4632352888584137,0.6736111044883728
37,attention_v2,input,sf,0.5273809432983398,0.5476190447807312,0.5071428418159485
37,attention_v2,input,sr,0.5464285612106323,0.5629453659057617,0.5298329591751099
37,attention_v2,input,sc,0.6476190686225891,0.6380952596664429,0.6571428775787354
37,attention_v2,input,final_target,0.5666666626930237,0.406862735748291,0.7175925970077515
37,attention_v2,after_encoder,sf,0.5357142686843872,0.5523809790611267,0.5190476179122925
37,attention_v2,after_encoder,sr,0.5440475940704346,0.5558194518089294,0.5322195887565613
37,attention_v2,after_encoder,sc,0.6416666507720947,0.6404761672019958,0.6428571343421936
37,attention_v2,after_encoder,final_target,0.5547618865966797,0.4436274468898773,0.6597222089767456
37,attention_v2,after_blocks,sf,0.5190476179122925,0.5285714268684387,0.5095238089561462
37,attention_v2,after_blocks,sr,0.561904788017273,0.5724465847015381,0.5513126254081726
37,attention_v2,after_blocks,sc,0.9273809790611267,0.938095211982727,0.9166666865348816
37,attention_v2,after_blocks,final_target,0.6619047522544861,0.6446078419685364,0.6782407164573669
