seed,family,joint,control
11,F,1.0,0.75
11,R,0.550000011920929,0.44999998807907104
11,C,0.9916666746139526,0.44999998807907104
11,FR,0.7583333253860474,0.5083333253860474
11,RC,0.5083333253860474,0.5666666626930237
11,FC,0.49166667461395264,0.5166666507720947
11,FRC,0.8083333373069763,0.4833333194255829
23,F,1.0,0.5
23,R,0.6166666746139526,0.5083333253860474
23,C,0.9916666746139526,0.5
23,FR,0.7333333492279053,0.5416666865348816
23,RC,0.5083333253860474,0.49166667461395264
23,FC,0.5,0.5
23,FRC,0.8333333134651184,0.5166666507720947
37,F,1.0,0.5
37,R,0.675000011920929,0.5083333253860474
37,C,0.9916666746139526,0.5
37,FR,0.7833333611488342,0.5
37,RC,0.5916666388511658,0.6000000238418579
37,FC,0.49166667461395264,0.5
37,FRC,0.7833333611488342,0.49166667461395264
