seed,policy,mean_flops,accuracy
11,lambda=0.0,13464.285714285714,0.7416666746139526
11,lambda=0.01,13349.885714285714,0.7392857074737549
11,lambda=0.1,13431.6,0.7404761910438538
11,lambda=0.3,13235.485714285714,0.7357142567634583
11,old_portfolio_lambda=0,34546.142857142855,0.75
23,lambda=0.0,14716.8,0.7404761910438538
23,lambda=0.01,13094.742857142857,0.7607142925262451
23,lambda=0.1,12894.342857142858,0.7476190328598022
23,lambda=0.3,12829.371428571429,0.7511904835700989
23,old_portfolio_lambda=0,30050.914285714287,0.7607142925262451
37,lambda=0.0,14032.742857142857,0.7571428418159485
37,lambda=0.01,13698.114285714286,0.7488095164299011
37,lambda=0.1,13627.714285714286,0.7285714149475098
37,lambda=0.3,13123.142857142857,0.7642857432365417
37,old_portfolio_lambda=0,34640.142857142855,0.7607142925262451
