seed,policy,latency_proxy_us,mean_flops
11,lambda=0.0,741.6666746139526,13464.285714285714
11,lambda=0.01,739.2857074737549,13349.885714285714
11,lambda=0.1,740.4761910438538,13431.6
11,lambda=0.3,735.7142567634583,13235.485714285714
11,old_portfolio_lambda=0,750.0,34546.142857142855
23,lambda=0.0,740.4761910438538,14716.8
23,lambda=0.01,760.7142925262451,13094.742857142857
23,lambda=0.1,747.6190328598022,12894.342857142858
23,lambda=0.3,751.1904835700989,12829.371428571429
23,old_portfolio_lambda=0,760.7142925262451,30050.914285714287
37,lambda=0.0,757.1428418159485,14032.742857142857
37,lambda=0.01,748.8095164299011,13698.114285714286
37,lambda=0.1,728.5714149475098,13627.714285714286
37,lambda=0.3,764.2857432365417,13123.142857142857
37,old_portfolio_lambda=0,760.7142925262451,34640.142857142855
