seed,policy,F,R,C,FR,RC,FC,FRC
11,new_k=1,1.0,0.7416666746139526,1.0,0.7583333253860474,0.6083333492279053,0.5166666507720947,0.8083333373069763
11,new_k=2,1.0,0.800000011920929,1.0,0.7833333611488342,0.6083333492279053,0.5083333253860474,0.8083333373069763
11,new_k=3,1.0,0.7666666507720947,1.0,0.7583333253860474,0.6000000238418579,0.5083333253860474,0.8083333373069763
11,old_k=1,1.0,0.7416666746139526,1.0,0.7416666746139526,0.6083333492279053,0.5083333253860474,0.8083333373069763
11,old_k=2,1.0,0.800000011920929,1.0,0.7833333611488342,0.574999988079071,0.5,0.8083333373069763
11,old_k=3,0.8333333134651184,0.7083333134651184,1.0,0.5916666388511658,0.5416666865348816,0.5083333253860474,0.8083333373069763
23,new_k=1,1.0,0.7833333611488342,0.9916666746139526,0.7333333492279053,0.5583333373069763,0.5333333611488342,0.8333333134651184
23,new_k=2,1.0,0.7583333253860474,1.0,0.75,0.5583333373069763,0.5249999761581421,0.8333333134651184
23,new_k=3,1.0,0.7250000238418579,1.0,0.7833333611488342,0.5249999761581421,0.5416666865348816,0.8333333134651184
23,old_k=1,1.0,0.7833333611488342,0.9916666746139526,0.7333333492279053,0.5583333373069763,0.5333333611488342,0.8333333134651184
23,old_k=2,1.0,0.7583333253860474,0.9916666746139526,0.7166666388511658,0.5583333373069763,0.5249999761581421,0.8333333134651184
23,old_k=3,0.9583333134651184,0.6000000238418579,0.9916666746139526,0.675000011920929,0.5166666507720947,0.5333333611488342,0.8333333134651184
37,new_k=1,1.0,0.6916666626930237,1.0,0.7833333611488342,0.6000000238418579,0.5,0.7833333611488342
37,new_k=2,1.0,0.6916666626930237,1.0,0.7916666865348816,0.6166666746139526,0.5,0.7833333611488342
37,new_k=3,1.0,0.699999988079071,1.0,0.7916666865348816,0.6000000238418579,0.5,0.7833333611488342
37,old_k=1,1.0,0.6916666626930237,1.0,0.7749999761581421,0.5916666388511658,0.5,0.7749999761581421
37,old_k=2,0.75,0.625,1.0,0.7166666388511658,0.5916666388511658,0.5,0.7833333611488342
37,old_k=3,0.75,0.625,1.0,0.675000011920929,0.5916666388511658,0.5,0.7833333611488342
