seed,policy,overall,F,R,C,FR,RC,FC,FRC
11,lambda=0.0,0.7416666746139526,1.0,0.7333333492279053,0.9916666746139526,0.6583333611488342,0.5083333253860474,0.49166667461395264,0.8083333373069763
11,lambda=0.01,0.7392857074737549,1.0,0.7416666746139526,0.9916666746139526,0.6333333253860474,0.5083333253860474,0.49166667461395264,0.8083333373069763
11,lambda=0.1,0.7404761910438538,1.0,0.7333333492279053,0.9916666746139526,0.6499999761581421,0.5083333253860474,0.49166667461395264,0.8083333373069763
11,lambda=0.3,0.7357142567634583,1.0,0.7416666746139526,0.9916666746139526,0.6083333492279053,0.5083333253860474,0.49166667461395264,0.8083333373069763
11,old_portfolio_lambda=0,0.75,1.0,0.7583333253860474,1.0,0.675000011920929,0.5083333253860474,0.49166667461395264,0.8166666626930237
23,lambda=0.0,0.7404761910438538,1.0,0.6166666746139526,0.9916666746139526,0.7333333492279053,0.49166667461395264,0.5416666865348816,0.8083333373069763
23,lambda=0.01,0.7607142925262451,1.0,0.800000011920929,0.9666666388511658,0.7166666388511658,0.5083333253860474,0.5,0.8333333134651184
23,lambda=0.1,0.7476190328598022,1.0,0.7749999761581421,0.9916666746139526,0.625,0.5083333253860474,0.5,0.8333333134651184
23,lambda=0.3,0.7511904835700989,1.0,0.7916666865348816,0.9833333492279053,0.6499999761581421,0.5083333253860474,0.5,0.824999988079071
23,old_portfolio_lambda=0,0.7607142925262451,1.0,0.7833333611488342,0.9916666746139526,0.6916666626930237,0.5083333253860474,0.5166666507720947,0.8333333134651184
37,lambda=0.0,0.7571428418159485,1.0,0.75,0.9916666746139526,0.6916666626930237,0.5916666388511658,0.49166667461395264,0.7833333611488342
37,lambda=0.01,0.7488095164299011,1.0,0.7083333134651184,0.9916666746139526,0.675000011920929,0.5916666388511658,0.49166667461395264,0.7833333611488342
37,lambda=0.1,0.7285714149475098,1.0,0.7166666388511658,0.9916666746139526,0.5249999761581421,0.5916666388511658,0.49166667461395264,0.7833333611488342
37,lambda=0.3,0.7642857432365417,1.0,0.7083333134651184,0.9916666746139526,0.7833333611488342,0.5916666388511658,0.49166667461395264,0.7833333611488342
37,old_portfolio_lambda=0,0.7607142925262451,1.0,0.6833333373069763,1.0,0.7749999761581421,0.5916666388511658,0.5,0.7749999761581421
