seed,family,old_ceiling,new_ceiling,old_best_expert,new_best_expert
11,F,1.0,1.0,mlp,mlp
11,R,0.7416666746139526,0.7416666746139526,graph,graph
11,C,1.0,1.0,attention_v2,attention_v2
11,FR,0.7416666746139526,0.7583333253860474,mlp,joint
11,RC,0.6083333492279053,0.6083333492279053,graph,graph
11,FC,0.5083333253860474,0.5166666507720947,attention_v2,control
11,FRC,0.8083333373069763,0.8083333373069763,attention_v2,attention_v2
23,F,1.0,1.0,mlp,mlp
23,R,0.7833333611488342,0.7833333611488342,graph,graph
23,C,0.9916666746139526,0.9916666746139526,attention_v2,attention_v2
23,FR,0.7333333492279053,0.7333333492279053,mlp,mlp
23,RC,0.5583333373069763,0.5583333373069763,graph,graph
23,FC,0.5333333611488342,0.5333333611488342,mlp,mlp
23,FRC,0.8333333134651184,0.8333333134651184,attention_v2,attention_v2
37,F,1.0,1.0,mlp,mlp
37,R,0.6916666626930237,0.6916666626930237,graph,graph
37,C,1.0,1.0,attention_v2,attention_v2
37,FR,0.7749999761581421,0.7833333611488342,mlp,joint
37,RC,0.5916666388511658,0.6000000238418579,attention_v2,control
37,FC,0.5,0.5,mlp,mlp
37,FRC,0.7749999761581421,0.7833333611488342,attention_v2,joint
