seed,expert,family,accuracy
11,mlp,F,1.0
11,mlp,R,0.5583333373069763
11,mlp,C,0.4833333194255829
11,mlp,FR,0.7416666746139526
11,mlp,RC,0.40833333134651184
11,mlp,FC,0.4749999940395355
11,mlp,FRC,0.5249999761581421
11,graph,F,0.5
11,graph,R,0.7416666746139526
11,graph,C,0.5
11,graph,FR,0.40833333134651184
11,graph,RC,0.6083333492279053
11,graph,FC,0.49166667461395264
11,graph,FRC,0.5249999761581421
11,attention,F,0.5583333373069763
11,attention,R,0.5083333253860474
11,attention,C,0.4583333432674408
11,attention,FR,0.5583333373069763
11,attention,RC,0.4333333373069763
11,attention,FC,0.4416666626930237
11,attention,FRC,0.4583333432674408
11,attention_v2,F,0.5249999761581421
11,attention_v2,R,0.5416666865348816
11,attention_v2,C,1.0
11,attention_v2,FR,0.4166666567325592
11,attention_v2,RC,0.5166666507720947
11,attention_v2,FC,0.5083333253860474
11,attention_v2,FRC,0.8083333373069763
11,joint,F,1.0
11,joint,R,0.550000011920929
11,joint,C,0.9916666746139526
11,joint,FR,0.7583333253860474
11,joint,RC,0.5083333253860474
11,joint,FC,0.49166667461395264
11,joint,FRC,0.8083333373069763
11,control,F,0.75
11,control,R,0.44999998807907104
11,control,C,0.44999998807907104
11,control,FR,0.5083333253860474
11,control,RC,0.5666666626930237
11,control,FC,0.5166666507720947
11,control,FRC,0.4833333194255829
23,mlp,F,1.0
23,mlp,R,0.49166667461395264
23,mlp,C,0.5166666507720947
23,mlp,FR,0.7333333492279053
23,mlp,RC,0.5
23,mlp,FC,0.5333333611488342
23,mlp,FRC,0.4749999940395355
23,graph,F,0.5
23,graph,R,0.7833333611488342
23,graph,C,0.5083333253860474
23,graph,FR,0.6916666626930237
23,graph,RC,0.5583333373069763
23,graph,FC,0.5083333253860474
23,graph,FRC,0.5
23,attention,F,0.5
23,attention,R,0.550000011920929
23,attention,C,0.5
23,attention,FR,0.5
23,attention,RC,0.5166666507720947
23,attention,FC,0.4833333194255829
23,attention,FRC,0.5666666626930237
23,attention_v2,F,0.5416666865348816
23,attention_v2,R,0.49166667461395264
23,attention_v2,C,0.9916666746139526
23,attention_v2,FR,0.5249999761581421
23,attention_v2,RC,0.5083333253860474
23,attention_v2,FC,0.5166666507720947
23,attention_v2,FRC,0.8333333134651184
23,joint,F,1.0
23,joint,R,0.6166666746139526
23,joint,C,0.9916666746139526
23,joint,FR,0.7333333492279053
23,joint,RC,0.5083333253860474
23,joint,FC,0.5
23,joint,FRC,0.8333333134651184
23,control,F,0.5
23,control,R,0.5083333253860474
23,control,C,0.5
23,control,FR,0.5416666865348816
23,control,RC,0.49166667461395264
23,control,FC,0.5
23,control,FRC,0.5166666507720947
37,mlp,F,1.0
37,mlp,R,0.49166667461395264
37,mlp,C,0.5
37,mlp,FR,0.7749999761581421
37,mlp,RC,0.4000000059604645
37,mlp,FC,0.5
37,mlp,FRC,0.5083333253860474
37,graph,F,0.75
37,graph,R,0.6916666626930237
37,graph,C,0.4833333194255829
37,graph,FR,0.5416666865348816
37,graph,RC,0.44999998807907104
37,graph,FC,0.4166666567325592
37,graph,FRC,0.5666666626930237
37,attention,F,0.5
37,attention,R,0.5166666507720947
37,attention,C,0.49166667461395264
37,attention,FR,0.4583333432674408
37,attention,RC,0.5
37,attention,FC,0.44999998807907104
37,attention,FRC,0.5916666388511658
37,attention_v2,F,0.46666666865348816
37,attention_v2,R,0.6000000238418579
37,attention_v2,C,1.0
37,attention_v2,FR,0.5916666388511658
37,attention_v2,RC,0.5916666388511658
37,attention_v2,FC,0.5
37,attention_v2,FRC,0.7749999761581421
37,joint,F,1.0
37,joint,R,0.675000011920929
37,joint,C,0.9916666746139526
37,joint,FR,0.7833333611488342
37,joint,RC,0.5916666388511658
37,joint,FC,0.49166667461395264
37,joint,FRC,0.7833333611488342
37,control,F,0.5
37,control,R,0.5083333253860474
37,control,C,0.5
37,control,FR,0.5
37,control,RC,0.6000000238418579
37,control,FC,0.5
37,control,FRC,0.49166667461395264
