seed,condition,metric,value
11,13A_baseline,F,1.0
11,13A_baseline,R,0.550000011920929
11,13A_baseline,C,0.9916666746139526
11,13A_baseline,FR,0.7583333253860474
11,13A_baseline,RC,0.5083333253860474
11,13A_baseline,FC,0.49166667461395264
11,13A_baseline,FRC,0.8083333373069763
11,13A_baseline,pure_mean,0.8472222288449606
11,13A_baseline,mixed_mean,0.6416666656732559
11,13A_baseline,overall,0.7297618985176086
23,13A_baseline,F,1.0
23,13A_baseline,R,0.6166666746139526
23,13A_baseline,C,0.9916666746139526
23,13A_baseline,FR,0.7333333492279053
23,13A_baseline,RC,0.5083333253860474
23,13A_baseline,FC,0.5
23,13A_baseline,FRC,0.8333333134651184
23,13A_baseline,pure_mean,0.8694444497426351
23,13A_baseline,mixed_mean,0.6437499970197678
23,13A_baseline,overall,0.7404761910438538
37,13A_baseline,F,1.0
37,13A_baseline,R,0.675000011920929
37,13A_baseline,C,0.9916666746139526
37,13A_baseline,FR,0.7833333611488342
37,13A_baseline,RC,0.5916666388511658
37,13A_baseline,FC,0.49166667461395264
37,13A_baseline,FRC,0.7833333611488342
37,13A_baseline,pure_mean,0.8888888955116272
37,13A_baseline,mixed_mean,0.6625000089406967
37,13A_baseline,overall,0.7595238089561462
