seed,condition,ablation,family,accuracy
11,ablation_baseline,all,F,1.0
11,ablation_baseline,all,R,0.550000011920929
11,ablation_baseline,all,C,0.9916666746139526
11,ablation_baseline,all,FR,0.7583333253860474
11,ablation_baseline,all,RC,0.5083333253860474
11,ablation_baseline,all,FC,0.49166667461395264
11,ablation_baseline,all,FRC,0.8083333373069763
11,ablation_baseline,all,overall,0.7297618985176086
11,ablation_baseline,feature,F,0.6166666746139526
11,ablation_baseline,feature,R,0.46666666865348816
11,ablation_baseline,feature,C,1.0
11,ablation_baseline,feature,FR,0.699999988079071
11,ablation_baseline,feature,RC,0.5083333253860474
11,ablation_baseline,feature,FC,0.5
11,ablation_baseline,feature,FRC,0.8083333373069763
11,ablation_baseline,feature,overall,0.6571428775787354
11,ablation_baseline,graph,F,0.9833333492279053
11,ablation_baseline,graph,R,0.5583333373069763
11,ablation_baseline,graph,C,0.9916666746139526
11,ablation_baseline,graph,FR,0.6583333611488342
11,ablation_baseline,graph,RC,0.5083333253860474
11,ablation_baseline,graph,FC,0.5
11,ablation_baseline,graph,FRC,0.8083333373069763
11,ablation_baseline,graph,overall,0.7154762148857117
11,ablation_baseline,context,F,1.0
11,ablation_baseline,context,R,0.6666666865348816
11,ablation_baseline,context,C,0.5083333253860474
11,ablation_baseline,context,FR,0.699999988079071
11,ablation_baseline,context,RC,0.5916666388511658
11,ablation_baseline,context,FC,0.5083333253860474
11,ablation_baseline,context,FRC,0.49166667461395264
11,ablation_baseline,context,overall,0.6380952596664429
11,ablation_coadapted,all,F,1.0
11,ablation_coadapted,all,R,0.574999988079071
11,ablation_coadapted,all,C,0.9916666746139526
11,ablation_coadapted,all,FR,0.7583333253860474
11,ablation_coadapted,all,RC,0.5166666507720947
11,ablation_coadapted,all,FC,0.49166667461395264
11,ablation_coadapted,all,FRC,0.800000011920929
11,ablation_coadapted,all,overall,0.7333333492279053
11,ablation_coadapted,feature,F,1.0
11,ablation_coadapted,feature,R,0.5
11,ablation_coadapted,feature,C,0.9916666746139526
11,ablation_coadapted,feature,FR,0.7583333253860474
11,ablation_coadapted,feature,RC,0.5166666507720947
11,ablation_coadapted,feature,FC,0.49166667461395264
11,ablation_coadapted,feature,FRC,0.800000011920929
11,ablation_coadapted,feature,overall,0.7226190567016602
11,ablation_coadapted,graph,F,1.0
11,ablation_coadapted,graph,R,0.5333333611488342
11,ablation_coadapted,graph,C,0.9916666746139526
11,ablation_coadapted,graph,FR,0.7583333253860474
11,ablation_coadapted,graph,RC,0.5166666507720947
11,ablation_coadapted,graph,FC,0.49166667461395264
11,ablation_coadapted,graph,FRC,0.800000011920929
11,ablation_coadapted,graph,overall,0.7273809313774109
11,ablation_coadapted,context,F,1.0
11,ablation_coadapted,context,R,0.5916666388511658
11,ablation_coadapted,context,C,0.949999988079071
11,ablation_coadapted,context,FR,0.75
11,ablation_coadapted,context,RC,0.5
11,ablation_coadapted,context,FC,0.49166667461395264
11,ablation_coadapted,context,FRC,0.7916666865348816
11,ablation_coadapted,context,overall,0.7250000238418579
23,ablation_baseline,all,F,1.0
23,ablation_baseline,all,R,0.6166666746139526
23,ablation_baseline,all,C,0.9916666746139526
23,ablation_baseline,all,FR,0.7333333492279053
23,ablation_baseline,all,RC,0.5083333253860474
23,ablation_baseline,all,FC,0.5
23,ablation_baseline,all,FRC,0.8333333134651184
23,ablation_baseline,all,overall,0.7404761910438538
23,ablation_baseline,feature,F,0.5
23,ablation_baseline,feature,R,0.5333333611488342
23,ablation_baseline,feature,C,1.0
23,ablation_baseline,feature,FR,0.30000001192092896
23,ablation_baseline,feature,RC,0.5
23,ablation_baseline,feature,FC,0.5083333253860474
23,ablation_baseline,feature,FRC,0.8083333373069763
23,ablation_baseline,feature,overall,0.5928571224212646
23,ablation_baseline,graph,F,1.0
23,ablation_baseline,graph,R,0.5083333253860474
23,ablation_baseline,graph,C,0.9916666746139526
23,ablation_baseline,graph,FR,0.7333333492279053
23,ablation_baseline,graph,RC,0.5083333253860474
23,ablation_baseline,graph,FC,0.49166667461395264
23,ablation_baseline,graph,FRC,0.824999988079071
23,ablation_baseline,graph,overall,0.7226190567016602
23,ablation_baseline,context,F,1.0
23,ablation_baseline,context,R,0.5333333611488342
23,ablation_baseline,context,C,0.5249999761581421
23,ablation_baseline,context,FR,0.75
23,ablation_baseline,context,RC,0.4749999940395355
23,ablation_baseline,context,FC,0.4833333194255829
23,ablation_baseline,context,FRC,0.5166666507720947
23,ablation_baseline,context,overall,0.6119047403335571
23,ablation_coadapted,all,F,1.0
23,ablation_coadapted,all,R,0.6416666507720947
23,ablation_coadapted,all,C,0.9916666746139526
23,ablation_coadapted,all,FR,0.7583333253860474
23,ablation_coadapted,all,RC,0.5083333253860474
23,ablation_coadapted,all,FC,0.49166667461395264
23,ablation_coadapted,all,FRC,0.8333333134651184
23,ablation_coadapted,all,overall,0.7464285492897034
23,ablation_coadapted,feature,F,1.0
23,ablation_coadapted,feature,R,0.6000000238418579
23,ablation_coadapted,feature,C,0.9916666746139526
23,ablation_coadapted,feature,FR,0.75
23,ablation_coadapted,feature,RC,0.5166666507720947
23,ablation_coadapted,feature,FC,0.49166667461395264
23,ablation_coadapted,feature,FRC,0.8333333134651184
23,ablation_coadapted,feature,overall,0.7404761910438538
23,ablation_coadapted,graph,F,1.0
23,ablation_coadapted,graph,R,0.5333333611488342
23,ablation_coadapted,graph,C,0.9916666746139526
