seed,condition,branch,scale
11,scales_baseline,feature,0.5217030048370361
11,scales_baseline,graph,0.3422289192676544
11,scales_baseline,context,0.45018136501312256
11,scales_extended,feature,0.4904347062110901
11,scales_extended,graph,0.35615065693855286
11,scales_extended,context,0.4161643981933594
11,scales_coadapted,feature,0.45722436904907227
11,scales_coadapted,graph,0.3288479149341583
11,scales_coadapted,context,0.42181679606437683
23,scales_baseline,feature,0.47127681970596313
23,scales_baseline,graph,0.38812118768692017
23,scales_baseline,context,0.4716675877571106
23,scales_extended,feature,0.5871827602386475
23,scales_extended,graph,0.3081931471824646
23,scales_extended,context,0.45333734154701233
23,scales_coadapted,feature,0.5198343992233276
23,scales_coadapted,graph,0.3309272825717926
23,scales_coadapted,context,0.4216468632221222
37,scales_baseline,feature,0.5540276169776917
37,scales_baseline,graph,0.36703452467918396
37,scales_baseline,context,0.45740965008735657
37,scales_extended,feature,0.5035029649734497
37,scales_extended,graph,0.32017526030540466
37,scales_extended,context,0.424980103969574
37,scales_coadapted,feature,0.48221555352211
37,scales_coadapted,graph,0.3544699251651764
37,scales_coadapted,context,0.42292320728302
