seed,expert,latency_us
11,mlp,26.596000000912074
11,graph,38.258333309689384
11,attention,22.141333308051497
11,attention_v2,75.41749999897245
11,joint_baseline,46.31358332214101
11,joint_extended,67.37091669492656
11,joint_coadapted,64.92033331596758
23,mlp,37.20675000901489
23,graph,36.78500004753005
23,attention,45.5146666111735
23,attention_v2,58.235083403512064
23,joint_baseline,59.64091667313672
23,joint_extended,50.140666692944556
23,joint_coadapted,80.94599998003105
37,mlp,27.148916669830214
37,graph,36.61783330850691
37,attention,25.61650001249897
37,attention_v2,56.513583367632236
37,joint_baseline,48.82099995787333
37,joint_extended,44.33866666659014
37,joint_coadapted,61.75916669841778
