seed,combination,F,R,C,FR,RC,FC,FRC,overall
11,feat,1.0,0.625,0.5083333253860474,0.7583333253860474,0.5583333373069763,0.5333333611488342,0.5,0.6404761672019958
11,rel,0.5,0.550000011920929,0.44999998807907104,0.7416666746139526,0.38333332538604736,0.4583333432674408,0.5083333253860474,0.5130952596664429
11,ctx,0.5,0.5833333134651184,0.9916666746139526,0.7250000238418579,0.5083333253860474,0.5,0.8083333373069763,0.6595237851142883
11,feat+rel,1.0,0.574999988079071,0.4833333194255829,0.75,0.49166667461395264,0.5,0.49166667461395264,0.613095223903656
11,feat+ctx,1.0,0.6083333492279053,0.9750000238418579,0.7583333253860474,0.49166667461395264,0.49166667461395264,0.8083333373069763,0.7333333492279053
11,rel+ctx,0.5,0.5583333373069763,0.9916666746139526,0.7250000238418579,0.5,0.4749999940395355,0.8083333373069763,0.651190459728241
11,feat+rel+ctx,1.0,0.6666666865348816,0.9583333134651184,0.75,0.4833333194255829,0.46666666865348816,0.8083333373069763,0.7333333492279053
23,feat,1.0,0.5833333134651184,0.5666666626930237,0.7416666746139526,0.5249999761581421,0.4833333194255829,0.5083333253860474,0.6297619342803955
23,rel,0.5,0.5833333134651184,0.5333333611488342,0.7333333492279053,0.550000011920929,0.4749999940395355,0.5,0.5535714030265808
23,ctx,0.5,0.49166667461395264,1.0,0.25833332538604736,0.5083333253860474,0.5083333253860474,0.800000011920929,0.5809524059295654
23,feat+rel,1.0,0.5833333134651184,0.5416666865348816,0.75,0.550000011920929,0.5,0.5083333253860474,0.6333333253860474
23,feat+ctx,1.0,0.5833333134651184,0.949999988079071,0.7333333492279053,0.5249999761581421,0.5249999761581421,0.7833333611488342,0.7285714149475098
23,rel+ctx,0.5,0.6000000238418579,0.9333333373069763,0.7416666746139526,0.5166666507720947,0.5249999761581421,0.7833333611488342,0.6571428775787354
23,feat+rel+ctx,1.0,0.5666666626930237,0.925000011920929,0.7416666746139526,0.5083333253860474,0.5083333253860474,0.7749999761581421,0.7178571224212646
37,feat,1.0,0.5666666626930237,0.550000011920929,0.800000011920929,0.5249999761581421,0.4749999940395355,0.5,0.6309523582458496
37,rel,0.5,0.5,0.5083333253860474,0.699999988079071,0.5916666388511658,0.5,0.42500001192092896,0.5321428775787354
37,ctx,0.5,0.46666666865348816,1.0,0.3083333373069763,0.574999988079071,0.5,0.7666666507720947,0.5880952477455139
37,feat+rel,1.0,0.5583333373069763,0.5333333611488342,0.7833333611488342,0.5583333373069763,0.4583333432674408,0.38333332538604736,0.6107142567634583
37,feat+ctx,1.0,0.5249999761581421,0.9666666388511658,0.800000011920929,0.5916666388511658,0.5,0.7749999761581421,0.7369047403335571
37,rel+ctx,0.5,0.5583333373069763,0.9750000238418579,0.699999988079071,0.6083333492279053,0.5083333253860474,0.7666666507720947,0.6595237851142883
37,feat+rel+ctx,1.0,0.550000011920929,0.9583333134651184,0.7749999761581421,0.5916666388511658,0.49166667461395264,0.75,0.7309523820877075
