seed,category,condition,family,accuracy
11,RELATIONAL_SENSITIVITY,original,R,0.5666666626930237
11,RELATIONAL_SENSITIVITY,original,RC,0.5083333253860474
11,RELATIONAL_SENSITIVITY,original,FRC,0.8083333373069763
11,RELATIONAL_SENSITIVITY,relational_permuted,R,0.574999988079071
11,RELATIONAL_SENSITIVITY,relational_permuted,RC,0.5
11,RELATIONAL_SENSITIVITY,relational_permuted,FRC,0.8083333373069763
23,RELATIONAL_SENSITIVITY,original,R,0.574999988079071
23,RELATIONAL_SENSITIVITY,original,RC,0.4749999940395355
23,RELATIONAL_SENSITIVITY,original,FRC,0.7583333253860474
23,RELATIONAL_SENSITIVITY,relational_permuted,R,0.5583333373069763
23,RELATIONAL_SENSITIVITY,relational_permuted,RC,0.46666666865348816
23,RELATIONAL_SENSITIVITY,relational_permuted,FRC,0.7666666507720947
37,RELATIONAL_SENSITIVITY,original,R,0.5
37,RELATIONAL_SENSITIVITY,original,RC,0.6166666746139526
37,RELATIONAL_SENSITIVITY,original,FRC,0.7416666746139526
37,RELATIONAL_SENSITIVITY,relational_permuted,R,0.5333333611488342
37,RELATIONAL_SENSITIVITY,relational_permuted,RC,0.6083333492279053
37,RELATIONAL_SENSITIVITY,relational_permuted,FRC,0.75
