seed,pooling,F,R,C,FR,RC,FC,FRC,overall
11,P1_query,1.0,0.6333333253860474,0.9916666746139526,0.7583333253860474,0.5083333253860474,0.5083333253860474,0.800000011920929,0.7428571581840515
11,P2_mean,1.0,0.550000011920929,0.8916666507720947,0.7333333492279053,0.5,0.5416666865348816,0.699999988079071,0.7023809552192688
11,P3_max,1.0,0.6000000238418579,0.9083333611488342,0.7250000238418579,0.4833333194255829,0.5166666507720947,0.75,0.711904764175415
11,P4_mean_plus_query,1.0,0.5833333134651184,0.9916666746139526,0.75,0.5083333253860474,0.5166666507720947,0.8083333373069763,0.7369047403335571
23,P1_query,1.0,0.6000000238418579,0.9833333492279053,0.7416666746139526,0.5083333253860474,0.4833333194255829,0.7666666507720947,0.726190447807312
23,P2_mean,1.0,0.6333333253860474,0.8333333134651184,0.7916666865348816,0.46666666865348816,0.4833333194255829,0.6833333373069763,0.6988095045089722
23,P3_max,1.0,0.574999988079071,0.8666666746139526,0.8083333373069763,0.46666666865348816,0.5249999761581421,0.7333333492279053,0.7107142806053162
23,P4_mean_plus_query,1.0,0.5916666388511658,0.9750000238418579,0.7916666865348816,0.5,0.5083333253860474,0.7749999761581421,0.7345238327980042
37,P1_query,0.9916666746139526,0.6083333492279053,0.949999988079071,0.5833333134651184,0.6000000238418579,0.5083333253860474,0.7250000238418579,0.7095237970352173
37,P2_mean,1.0,0.5,0.9333333373069763,0.7666666507720947,0.574999988079071,0.4749999940395355,0.7083333134651184,0.7083333134651184
37,P3_max,0.949999988079071,0.6166666746139526,0.9583333134651184,0.7749999761581421,0.6000000238418579,0.49166667461395264,0.7333333492279053,0.7321428656578064
37,P4_mean_plus_query,0.75,0.5583333373069763,0.9416666626930237,0.6833333373069763,0.6000000238418579,0.49166667461395264,0.7416666746139526,0.6809523701667786
