seed,metric,value
11,F,1.0
11,R,0.5
11,C,0.9916666746139526
11,FR,0.7583333253860474
11,RC,0.5083333253860474
11,FC,0.49166667461395264
11,FRC,0.800000011920929
11,pure_mean,0.8305555582046509
11,mixed_mean,0.6395833343267441
11,overall,0.7214285731315613
23,F,1.0
23,R,0.6000000238418579
23,C,0.9916666746139526
23,FR,0.7583333253860474
23,RC,0.5166666507720947
23,FC,0.5083333253860474
23,FRC,0.8333333134651184
23,pure_mean,0.8638888994852701
23,mixed_mean,0.654166653752327
23,overall,0.7440476417541504
37,F,1.0
37,R,0.6333333253860474
37,C,0.9833333492279053
37,FR,0.7916666865348816
37,RC,0.5916666388511658
37,FC,0.4833333194255829
37,FRC,0.75
37,pure_mean,0.8722222248713175
37,mixed_mean,0.6541666612029076
37,overall,0.7476190328598022
