seed,condition,combination,F,R,C,FR,RC,FC,FRC
11,baseline,F,1.0,0.4833333194255829,0.9750000238418579,0.75,0.49166667461395264,0.5083333253860474,0.7916666865348816
11,baseline,R,1.0,0.4749999940395355,0.9750000238418579,0.75,0.5166666507720947,0.5083333253860474,0.800000011920929
11,baseline,C,0.925000011920929,0.550000011920929,1.0,0.699999988079071,0.5083333253860474,0.5166666507720947,0.8083333373069763
11,baseline,F+R,1.0,0.4583333432674408,0.9583333134651184,0.7416666746139526,0.49166667461395264,0.5083333253860474,0.7833333611488342
11,baseline,R+C,1.0,0.5,0.9916666746139526,0.7833333611488342,0.5083333253860474,0.49166667461395264,0.8083333373069763
11,baseline,F+C,1.0,0.5583333373069763,1.0,0.7416666746139526,0.5083333253860474,0.5166666507720947,0.8083333373069763
11,baseline,F+R+C,1.0,0.5,0.9916666746139526,0.7583333253860474,0.5083333253860474,0.49166667461395264,0.800000011920929
11,depth2,F,1.0,0.44999998807907104,0.9750000238418579,0.7333333492279053,0.5166666507720947,0.5083333253860474,0.7916666865348816
11,depth2,R,1.0,0.5666666626930237,0.9666666388511658,0.75,0.5166666507720947,0.5166666507720947,0.800000011920929
11,depth2,C,0.5166666507720947,0.40833333134651184,0.9916666746139526,0.5583333373069763,0.5249999761581421,0.5,0.800000011920929
11,depth2,F+R,1.0,0.5583333373069763,0.9750000238418579,0.7583333253860474,0.5166666507720947,0.5,0.800000011920929
11,depth2,R+C,1.0,0.4166666567325592,0.9916666746139526,0.6499999761581421,0.5166666507720947,0.5,0.800000011920929
11,depth2,F+C,1.0,0.40833333134651184,0.9916666746139526,0.6583333611488342,0.5249999761581421,0.5,0.800000011920929
11,depth2,F+R+C,1.0,0.4333333373069763,0.9916666746139526,0.7333333492279053,0.5166666507720947,0.5,0.800000011920929
11,depth3,F,1.0,0.5583333373069763,0.9166666865348816,0.75,0.5166666507720947,0.5249999761581421,0.7250000238418579
