seed,condition,params,rel_params,activation_bytes
11,baseline,6464,1776,69120
11,depth2,8240,3552,138240
11,depth3,10016,5328,207360
11,agg_sum,6464,1776,69120
11,agg_max,6464,1776,69120
11,cap_mlp,7064,2376,69120
11,cap_control_featwide,7052,1776,69120
23,baseline,6464,1776,69120
23,depth2,8240,3552,138240
23,depth3,10016,5328,207360
23,agg_sum,6464,1776,69120
23,agg_max,6464,1776,69120
23,cap_mlp,7064,2376,69120
23,cap_control_featwide,7052,1776,69120
37,baseline,6464,1776,69120
37,depth2,8240,3552,138240
37,depth3,10016,5328,207360
37,agg_sum,6464,1776,69120
37,agg_max,6464,1776,69120
37,cap_mlp,7064,2376,69120
37,cap_control_featwide,7052,1776,69120
