seed,condition,latency_us,throughput_per_s
11,baseline,64.08225000389696,15604.945206187176
11,depth2,69.85275000261026,14315.828653311886
11,depth3,100.76583334011957,9923.99870921182
11,agg_sum,67.89850000435156,14727.865857653862
11,agg_max,114.4117499946636,8740.361021019626
11,cap_mlp,68.83983334470636,14526.473284626245
11,cap_control_featwide,61.1524999961451,16352.56122093189
23,baseline,69.59024999256751,14369.829108342097
23,depth2,72.73941667032584,13747.704419080826
23,depth3,92.71608333316787,10785.615224993699
23,agg_sum,57.542166675072316,17378.56006790247
23,agg_max,69.51566667036484,14385.246490433345
23,cap_mlp,69.08925000364736,14474.031776972653
23,cap_control_featwide,60.926166658343085,16413.309007404332
37,baseline,64.17966666049324,15581.258863339735
37,depth2,69.9182500011375,14302.417465879525
37,depth3,95.91625001121429,10425.762056826476
37,agg_sum,57.96366666800168,17252.186714268733
37,agg_max,63.22924999949464,15815.465152725874
37,cap_mlp,64.66391666435811,15464.575169341493
37,cap_control_featwide,65.7496666553925,15209.202584116589
