seed,condition,control,variant,R,RC,FRC
11,graph,destruction,original,0.9083333611488342,0.5166666507720947,0.4833333194255829
11,graph,destruction,relational_permuted,0.4333333373069763,0.5333333611488342,0.5333333611488342
11,graph,marker,original,0.9083333611488342,0.5166666507720947,0.4833333194255829
11,graph,marker,marker_neutralised,0.8833333253860474,0.5,0.4833333194255829
11,graph,token,original,0.9083333611488342,0.5166666507720947,0.4833333194255829
11,graph,token,token_permuted,0.5249999761581421,0.5,0.550000011920929
11,baseline,destruction,original,0.5,0.5083333253860474,0.800000011920929
11,baseline,destruction,relational_permuted,0.4833333194255829,0.5083333253860474,0.800000011920929
11,baseline,marker,original,0.5,0.5083333253860474,0.800000011920929
11,baseline,marker,marker_neutralised,0.5583333373069763,0.5166666507720947,0.5249999761581421
11,baseline,token,original,0.5,0.5083333253860474,0.800000011920929
11,baseline,token,token_permuted,0.4833333194255829,0.5083333253860474,0.800000011920929
11,depth3,destruction,original,0.6000000238418579,0.5166666507720947,0.800000011920929
11,depth3,destruction,relational_permuted,0.5666666626930237,0.5083333253860474,0.800000011920929
11,depth3,marker,original,0.6000000238418579,0.5166666507720947,0.800000011920929
11,depth3,marker,marker_neutralised,0.4583333432674408,0.5166666507720947,0.4833333194255829
11,depth3,token,original,0.6000000238418579,0.5166666507720947,0.800000011920929
11,depth3,token,token_permuted,0.5249999761581421,0.5083333253860474,0.800000011920929
11,rel_focused,destruction,original,0.5333333611488342,0.4000000059604645,0.550000011920929
11,rel_focused,destruction,relational_permuted,0.4749999940395355,0.40833333134651184,0.5166666507720947
11,rel_focused,marker,original,0.5333333611488342,0.4000000059604645,0.550000011920929
11,rel_focused,marker,marker_neutralised,0.6583333611488342,0.4833333194255829,0.49166667461395264
11,rel_focused,token,original,0.5333333611488342,0.4000000059604645,0.550000011920929
11,rel_focused,token,token_permuted,0.46666666865348816,0.4416666626930237,0.5
11,rel_first,destruction,original,0.5583333373069763,0.5249999761581421,0.7916666865348816
11,rel_first,destruction,relational_permuted,0.4583333432674408,0.5166666507720947,0.800000011920929
11,rel_first,marker,original,0.5583333373069763,0.5249999761581421,0.7916666865348816
11,rel_first,marker,marker_neutralised,0.550000011920929,0.5333333611488342,0.5166666507720947
11,rel_first,token,original,0.5583333373069763,0.5249999761581421,0.7916666865348816
