seed,stage,probe_R,head_R
11,pre,0.6000000238418579,0.5166666507720947
11,post,0.8333333134651184,0.7583333253860474
11,post_fusion,0.824999988079071,0.7333333492279053
11,native_input,0.6166666746139526,0.0
23,pre,0.550000011920929,0.5416666865348816
23,post,0.9083333611488342,0.6166666746139526
23,post_fusion,0.8833333253860474,0.5916666388511658
23,native_input,0.574999988079071,0.0
37,pre,0.5666666626930237,0.5083333253860474
37,post,0.8083333373069763,0.6666666865348816
37,post_fusion,0.8083333373069763,0.5
37,native_input,0.5916666388511658,0.0
