seed,condition,metric,value
11,graph,F,0.5
11,graph,R,0.9083333611488342
11,graph,C,0.5666666626930237
11,graph,FR,0.3916666805744171
11,graph,RC,0.5166666507720947
11,graph,FC,0.574999988079071
11,graph,FRC,0.4833333194255829
11,graph,mixed_mean,0.49166665971279144
11,graph,overall,0.563095211982727
11,baseline,F,1.0
11,baseline,R,0.5
11,baseline,C,0.9916666746139526
11,baseline,FR,0.7583333253860474
11,baseline,RC,0.5083333253860474
11,baseline,FC,0.49166667461395264
11,baseline,FRC,0.800000011920929
11,baseline,mixed_mean,0.6395833343267441
11,baseline,overall,0.7214285731315613
11,depth3,F,1.0
11,depth3,R,0.6000000238418579
11,depth3,C,0.9833333492279053
11,depth3,FR,0.7583333253860474
11,depth3,RC,0.5166666507720947
11,depth3,FC,0.5
11,depth3,FRC,0.800000011920929
11,depth3,mixed_mean,0.6437499970197678
11,depth3,overall,0.7369047403335571
11,rel_first,F,1.0
11,rel_first,R,0.5583333373069763
11,rel_first,C,0.9916666746139526
11,rel_first,FR,0.7166666388511658
11,rel_first,RC,0.5249999761581421
11,rel_first,FC,0.5
11,rel_first,FRC,0.7916666865348816
11,rel_first,mixed_mean,0.6333333253860474
11,rel_first,overall,0.726190447807312
23,graph,F,0.5
23,graph,R,0.925000011920929
23,graph,C,0.5416666865348816
23,graph,FR,0.5583333373069763
23,graph,RC,0.574999988079071
23,graph,FC,0.44999998807907104
23,graph,FRC,0.5166666507720947
23,graph,mixed_mean,0.5249999910593033
23,graph,overall,0.5809524059295654
23,baseline,F,1.0
23,baseline,R,0.6000000238418579
23,baseline,C,0.9916666746139526
23,baseline,FR,0.7583333253860474
23,baseline,RC,0.5166666507720947
23,baseline,FC,0.5083333253860474
23,baseline,FRC,0.8333333134651184
23,baseline,mixed_mean,0.654166653752327
23,baseline,overall,0.7440476417541504
23,depth3,F,1.0
23,depth3,R,0.6333333253860474
23,depth3,C,1.0
23,depth3,FR,0.7250000238418579
23,depth3,RC,0.5083333253860474
23,depth3,FC,0.5
23,depth3,FRC,0.8333333134651184
23,depth3,mixed_mean,0.6416666656732559
23,depth3,overall,0.7428571581840515
23,rel_first,F,1.0
23,rel_first,R,0.7083333134651184
23,rel_first,C,0.9916666746139526
23,rel_first,FR,0.7333333492279053
23,rel_first,RC,0.5166666507720947
23,rel_first,FC,0.4833333194255829
23,rel_first,FRC,0.824999988079071
23,rel_first,mixed_mean,0.6395833268761635
23,rel_first,overall,0.7511904835700989
37,graph,F,0.5
37,graph,R,0.8416666388511658
37,graph,C,0.5166666507720947
37,graph,FR,0.5249999761581421
37,graph,RC,0.4749999940395355
37,graph,FC,0.4416666626930237
37,graph,FRC,0.5666666626930237
37,graph,mixed_mean,0.5020833238959312
37,graph,overall,0.5523809790611267
37,baseline,F,1.0
37,baseline,R,0.6333333253860474
37,baseline,C,0.9833333492279053
37,baseline,FR,0.7916666865348816
37,baseline,RC,0.5916666388511658
37,baseline,FC,0.4833333194255829
37,baseline,FRC,0.75
37,baseline,mixed_mean,0.6541666612029076
37,baseline,overall,0.7476190328598022
37,depth3,F,1.0
37,depth3,R,0.6416666507720947
37,depth3,C,0.9916666746139526
37,depth3,FR,0.8166666626930237
37,depth3,RC,0.5833333134651184
37,depth3,FC,0.5
37,depth3,FRC,0.7666666507720947
37,depth3,mixed_mean,0.6666666567325592
37,depth3,overall,0.7571428418159485
37,rel_first,F,1.0
37,rel_first,R,0.6166666746139526
37,rel_first,C,0.9833333492279053
37,rel_first,FR,0.7916666865348816
37,rel_first,RC,0.5833333134651184
37,rel_first,FC,0.4833333194255829
37,rel_first,FRC,0.75
37,rel_first,mixed_mean,0.6520833298563957
37,rel_first,overall,0.7440476417541504
