seed,pair,family,pair_acc,single_a_acc,single_b_acc,interaction_gain
11,F+R,R,0.6166666746139526,0.5583333373069763,0.5333333611488342,0.05833333730697632
11,F+R,RC,0.5,0.5166666507720947,0.49166667461395264,-0.016666650772094727
11,F+R,FRC,0.7083333134651184,0.7250000238418579,0.7250000238418579,-0.016666710376739502
11,R+C,R,0.5416666865348816,0.5333333611488342,0.4749999940395355,0.008333325386047363
11,R+C,RC,0.5166666507720947,0.49166667461395264,0.5166666507720947,0.0
11,R+C,FRC,0.800000011920929,0.7250000238418579,0.800000011920929,0.0
11,F+C,R,0.5583333373069763,0.5583333373069763,0.4749999940395355,0.0
11,F+C,RC,0.5166666507720947,0.5166666507720947,0.5166666507720947,0.0
11,F+C,FRC,0.800000011920929,0.7250000238418579,0.800000011920929,0.0
23,F+R,R,0.625,0.6666666865348816,0.6499999761581421,-0.04166668653488159
23,F+R,RC,0.5166666507720947,0.5249999761581421,0.5,-0.008333325386047363
23,F+R,FRC,0.6833333373069763,0.7083333134651184,0.7416666746139526,-0.05833333730697632
23,R+C,R,0.625,0.6499999761581421,0.625,-0.02499997615814209
23,R+C,RC,0.5083333253860474,0.5,0.5083333253860474,0.0
23,R+C,FRC,0.8333333134651184,0.7416666746139526,0.8333333134651184,0.0
23,F+C,R,0.6833333373069763,0.6666666865348816,0.625,0.016666650772094727
23,F+C,RC,0.5083333253860474,0.5249999761581421,0.5083333253860474,-0.016666650772094727
23,F+C,FRC,0.8333333134651184,0.7083333134651184,0.8333333134651184,0.0
37,F+R,R,0.675000011920929,0.625,0.675000011920929,0.0
37,F+R,RC,0.5583333373069763,0.5166666507720947,0.5666666626930237,-0.008333325386047363
37,F+R,FRC,0.699999988079071,0.675000011920929,0.699999988079071,0.0
37,R+C,R,0.6416666507720947,0.675000011920929,0.5916666388511658,-0.03333336114883423
37,R+C,RC,0.5916666388511658,0.5666666626930237,0.5833333134651184,0.008333325386047363
37,R+C,FRC,0.7666666507720947,0.699999988079071,0.7666666507720947,0.0
37,F+C,R,0.6000000238418579,0.625,0.5916666388511658,-0.02499997615814209
37,F+C,RC,0.5916666388511658,0.5166666507720947,0.5833333134651184,0.008333325386047363
37,F+C,FRC,0.7666666507720947,0.675000011920929,0.7666666507720947,0.0
