seed,stage,F_signal,R_signal,C_signal,final_target
11,input,0.5392857193946838,0.538095235824585,0.6404761672019958,0.5559523701667786
11,feat_delta,0.6571428775787354,0.5309523940086365,0.6380952596664429,0.6428571343421936
11,rel_delta,0.686904788017273,0.6107142567634583,0.686904788017273,0.7035714387893677
11,ctx_delta,0.5095238089561462,0.5333333611488342,0.9142857193946838,0.6416666507720947
11,fused_delta,0.648809552192688,0.5273809432983398,0.9035714268684387,0.7226190567016602
11,block_output,0.6845238208770752,0.5940476059913635,0.9238095283508301,0.7559523582458496
23,input,0.5559523701667786,0.5416666865348816,0.6571428775787354,0.5523809790611267
23,feat_delta,0.6547619104385376,0.5726190209388733,0.6583333611488342,0.6583333611488342
23,rel_delta,0.6928571462631226,0.5964285731315613,0.6535714268684387,0.6833333373069763
23,ctx_delta,0.5178571343421936,0.5369047522544861,0.9214285612106323,0.6499999761581421
23,fused_delta,0.6523809432983398,0.5880952477455139,0.8190476298332214,0.6916666626930237
23,block_output,0.6738095283508301,0.6059523820877075,0.9107142686843872,0.7690476179122925
37,input,0.5321428775787354,0.5321428775787354,0.648809552192688,0.5440475940704346
37,feat_delta,0.6559523940086365,0.550000011920929,0.6535714268684387,0.6476190686225891
37,rel_delta,0.6845238208770752,0.6345238089561462,0.6702380776405334,0.6857143044471741
37,ctx_delta,0.5202381014823914,0.550000011920929,0.8999999761581421,0.6619047522544861
37,fused_delta,0.6297619342803955,0.5321428775787354,0.8714285492897034,0.6428571343421936
37,block_output,0.6619047522544861,0.5952380895614624,0.925000011920929,0.761904776096344
