seed,condition,control,variant,R,RC,FRC
11,baseline,destruction,original,0.5,0.5083333253860474,0.800000011920929
11,baseline,destruction,relational_permuted,0.4833333194255829,0.5083333253860474,0.800000011920929
11,depth3,destruction,original,0.6000000238418579,0.5166666507720947,0.800000011920929
11,depth3,destruction,relational_permuted,0.5666666626930237,0.5083333253860474,0.800000011920929
23,baseline,destruction,original,0.6000000238418579,0.5166666507720947,0.8333333134651184
23,baseline,destruction,relational_permuted,0.4833333194255829,0.5083333253860474,0.8333333134651184
23,depth3,destruction,original,0.6333333253860474,0.5083333253860474,0.8333333134651184
23,depth3,destruction,relational_permuted,0.550000011920929,0.5083333253860474,0.8333333134651184
37,baseline,destruction,original,0.6333333253860474,0.5916666388511658,0.75
37,baseline,destruction,relational_permuted,0.6083333492279053,0.5916666388511658,0.7583333253860474
37,depth3,destruction,original,0.6416666507720947,0.5833333134651184,0.7666666507720947
37,depth3,destruction,relational_permuted,0.6499999761581421,0.5916666388511658,0.7666666507720947
