seed,representation,F,F_on_RC,R,R_on_RC,C,C_on_RC
11,feat,0.6428571343421936,0.4583333432674408,0.5,0.40833333134651184,0.6357142925262451,0.5166666507720947
11,rel,0.6571428775787354,0.5,0.4892857074737549,0.4000000059604645,0.6392857432365417,0.550000011920929
11,ctx,0.4392857253551483,0.4749999940395355,0.488095223903656,0.40833333134651184,0.6583333611488342,1.0
11,fused,0.6452381014823914,0.4749999940395355,0.49047619104385376,0.42500001192092896,0.7190476059913635,0.6666666865348816
23,feat,0.6464285850524902,0.5666666626930237,0.494047611951828,0.5,0.6392857432365417,0.49166667461395264
23,rel,0.5714285969734192,0.5,0.5059523582458496,0.4749999940395355,0.663095235824585,0.5083333253860474
23,ctx,0.4809523820877075,0.5,0.4761904776096344,0.4833333194255829,0.6821428537368774,1.0
23,fused,0.6333333253860474,0.4749999940395355,0.4773809611797333,0.4749999940395355,0.863095223903656,0.8916666507720947
37,feat,0.636904776096344,0.5166666507720947,0.48452380299568176,0.5166666507720947,0.6273809671401978,0.4583333432674408
37,rel,0.5690476298332214,0.5583333373069763,0.4833333194255829,0.4749999940395355,0.6357142925262451,0.5166666507720947
37,ctx,0.5416666865348816,0.5333333611488342,0.4833333194255829,0.4333333373069763,0.8726190328598022,0.9833333492279053
37,fused,0.6345238089561462,0.49166667461395264,0.45595237612724304,0.4416666626930237,0.6821428537368774,0.574999988079071
