seed,sample,family,sf,sr,sc,target
11,3,RC,1,1,1,1
11,9,FRC,1,-1,1,1
11,10,RC,-1,1,1,1
11,11,RC,-1,-1,-1,0
11,18,RC,1,-1,-1,0
11,19,FRC,1,1,1,1
11,23,RC,1,-1,-1,0
11,24,RC,-1,-1,1,0
11,26,FRC,-1,-1,-1,0
11,34,FRC,1,1,1,1
11,35,FRC,1,1,-1,1
11,36,FRC,-1,1,1,1
11,45,FRC,-1,-1,1,0
11,49,FRC,1,-1,1,1
11,51,FRC,-1,-1,1,0
11,53,RC,1,-1,-1,0
11,55,FRC,1,1,-1,1
11,61,RC,-1,-1,1,0
11,62,RC,-1,-1,-1,0
11,64,FRC,1,1,1,1
11,70,RC,-1,1,1,1
11,71,RC,-1,-1,1,0
11,72,FRC,-1,-1,1,0
11,78,FRC,-1,1,1,1
11,85,FRC,-1,1,-1,0
11,87,RC,1,-1,-1,0
11,93,FRC,1,1,1,1
11,98,FRC,1,1,-1,1
11,100,RC,-1,-1,1,0
11,101,FRC,-1,1,1,1
11,106,RC,1,-1,1,0
11,111,RC,-1,1,1,1
11,123,FRC,-1,-1,1,0
11,133,RC,-1,-1,1,0
11,140,FRC,1,-1,-1,0
11,141,FRC,1,1,1,1
11,143,RC,1,-1,1,0
11,145,FRC,1,-1,-1,0
11,160,RC,-1,-1,1,0
11,165,RC,1,-1,-1,0
11,170,RC,1,1,1,1
11,177,FRC,1,1,1,1
11,179,FRC,-1,-1,-1,0
11,180,RC,1,-1,-1,0
11,181,RC,1,-1,1,0
11,183,RC,1,-1,1,0
11,187,FRC,-1,1,-1,0
11,189,RC,-1,-1,-1,0
11,190,RC,1,-1,1,0
11,193,FRC,1,-1,-1,0
11,196,FRC,-1,1,1,1
11,200,FRC,-1,-1,1,0
11,207,RC,1,-1,-1,0
11,208,FRC,-1,1,-1,0
11,212,RC,1,-1,-1,0
11,217,RC,-1,-1,1,0
11,222,FRC,1,-1,-1,0
11,223,FRC,-1,1,1,1
11,225,RC,-1,1,-1,1
11,228,FRC,1,1,1,1
11,230,FRC,1,1,1,1
11,231,RC,1,1,1,1
11,232,RC,-1,-1,-1,0
11,233,FRC,-1,1,-1,0
11,234,FRC,-1,1,1,1
11,239,FRC,1,-1,1,1
11,248,RC,-1,-1,1,0
11,249,FRC,1,-1,1,1
11,253,RC,-1,1,1,1
11,255,RC,-1,-1,-1,0
11,261,RC,1,-1,1,0
11,263,RC,1,-1,1,0
11,264,FRC,-1,-1,1,0
11,268,RC,-1,1,1,1
11,275,RC,-1,-1,1,0
11,276,FRC,1,-1,-1,0
11,289,RC,-1,1,1,1
11,292,FRC,1,1,-1,1
11,294,FRC,-1,1,-1,0
11,301,FRC,-1,-1,-1,0
11,312,FRC,-1,-1,-1,0
11,315,RC,-1,-1,-1,0
11,316,FRC,-1,1,1,1
11,318,RC,1,-1,-1,0
11,320,RC,1,-1,-1,0
11,323,FRC,1,-1,-1,0
11,325,RC,1,1,1,1
11,328,FRC,-1,1,1,1
11,332,RC,1,1,1,1
11,343,RC,-1,-1,-1,0
11,344,FRC,1,1,1,1
11,345,RC,-1,1,-1,1
11,347,FRC,-1,-1,-1,0
11,348,FRC,1,-1,-1,0
11,352,RC,-1,-1,1,0
11,362,RC,1,1,-1,1
11,363,FRC,1,1,-1,1
11,369,RC,-1,-1,-1,0
11,370,FRC,-1,-1,-1,0
11,377,RC,1,-1,1,0
11,379,RC,1,1,1,1
11,381,FRC,1,1,1,1
11,383,RC,1,1,-1,1
11,386,RC,-1,-1,1,0
11,387,RC,-1,-1,1,0
11,388,FRC,-1,1,-1,0
11,394,RC,-1,-1,-1,0
11,398,RC,-1,1,1,1
11,401,FRC,-1,1,-1,0
11,404,RC,1,1,-1,1
11,406,FRC,-1,-1,1,0
11,408,RC,-1,1,-1,1
11,417,FRC,1,-1,-1,0
11,419,RC,-1,1,-1,1
11,420,RC,1,1,-1,1
11,427,RC,-1,-1,1,0
11,429,RC,1,1,-1,1
11,433,RC,1,-1,-1,0
11,438,RC,-1,-1,-1,0
11,440,RC,1,1,1,1
11,452,FRC,1,-1,1,1
11,455,RC,1,-1,1,0
11,456,RC,-1,-1,-1,0
11,457,RC,-1,-1,-1,0
11,458,RC,-1,1,1,1
11,459,FRC,1,-1,-1,0
11,473,FRC,1,1,1,1
11,478,RC,1,1,-1,1
11,479,FRC,1,-1,-1,0
11,481,FRC,-1,1,-1,0
11,485,RC,1,1,1,1
11,487,RC,-1,-1,-1,0
11,488,RC,1,1,-1,1
11,490,FRC,1,-1,-1,0
11,497,RC,-1,-1,-1,0
11,499,FRC,-1,-1,1,0
11,500,FRC,-1,1,1,1
11,502,RC,1,1,1,1
11,507,RC,1,1,1,1
11,508,FRC,-1,-1,-1,0
11,512,RC,-1,1,-1,1
11,516,RC,1,-1,1,0
11,517,FRC,1,-1,1,1
11,518,FRC,1,1,1,1
11,521,RC,-1,-1,-1,0
11,530,FRC,1,-1,-1,0
11,533,RC,1,1,-1,1
11,537,FRC,-1,-1,1,0
11,538,RC,1,1,1,1
11,539,RC,1,1,1,1
11,540,RC,1,-1,1,0
11,541,RC,-1,1,-1,1
11,543,FRC,1,1,-1,1
11,546,FRC,-1,-1,1,0
11,547,FRC,1,1,-1,1
11,548,RC,-1,-1,-1,0
11,550,FRC,-1,1,1,1
11,554,FRC,-1,-1,1,0
11,555,FRC,-1,1,1,1
11,557,FRC,-1,1,-1,0
11,558,FRC,1,-1,1,1
11,561,RC,1,-1,-1,0
11,564,FRC,1,-1,-1,0
11,565,RC,1,-1,-1,0
11,568,FRC,-1,1,1,1
11,569,FRC,1,1,1,1
11,571,RC,1,-1,-1,0
11,572,RC,-1,-1,-1,0
11,573,RC,-1,-1,1,0
11,574,RC,1,-1,1,0
11,575,RC,-1,1,-1,1
11,582,RC,1,-1,1,0
11,583,FRC,-1,1,-1,0
11,586,FRC,1,-1,-1,0
11,588,FRC,1,-1,1,1
11,593,RC,1,1,1,1
11,594,RC,-1,1,1,1
11,595,FRC,1,-1,1,1
11,597,RC,-1,-1,1,0
11,604,FRC,-1,1,-1,0
11,608,FRC,-1,-1,-1,0
11,612,FRC,-1,-1,1,0
11,613,FRC,1,1,1,1
11,614,FRC,1,-1,1,1
11,620,FRC,1,-1,-1,0
11,625,RC,-1,1,1,1
11,627,RC,-1,-1,1,0
11,636,RC,-1,1,-1,1
11,637,RC,1,-1,-1,0
11,643,RC,1,-1,1,0
11,646,RC,-1,1,-1,1
11,647,RC,1,1,-1,1
11,650,RC,1,1,1,1
11,654,FRC,-1,1,1,1
11,657,FRC,-1,-1,-1,0
11,661,FRC,1,-1,1,1
11,663,FRC,-1,1,1,1
11,665,FRC,-1,-1,-1,0
11,669,FRC,-1,1,-1,0
11,670,FRC,1,-1,1,1
11,682,RC,1,-1,-1,0
11,686,RC,-1,-1,1,0
11,687,RC,-1,-1,1,0
11,691,FRC,1,1,1,1
11,696,RC,1,1,-1,1
11,697,FRC,1,1,1,1
11,699,RC,1,-1,1,0
11,701,FRC,1,-1,-1,0
11,703,FRC,1,1,-1,1
11,707,FRC,-1,1,1,1
11,712,FRC,1,-1,-1,0
11,714,FRC,-1,-1,-1,0
11,716,RC,-1,-1,-1,0
11,717,FRC,1,1,-1,1
11,721,RC,1,-1,-1,0
11,727,FRC,1,-1,1,1
11,731,FRC,-1,-1,-1,0
11,737,FRC,1,-1,-1,0
11,740,FRC,1,1,1,1
11,741,RC,1,1,-1,1
11,742,FRC,-1,-1,-1,0
11,752,RC,-1,-1,-1,0
11,754,FRC,-1,1,-1,0
11,757,RC,-1,-1,1,0
11,762,FRC,-1,1,1,1
11,766,RC,-1,-1,1,0
11,767,FRC,-1,-1,-1,0
11,768,FRC,-1,-1,-1,0
11,776,FRC,1,1,-1,1
11,777,FRC,-1,-1,1,0
11,779,RC,-1,1,-1,1
11,781,FRC,1,-1,-1,0
11,784,RC,-1,1,-1,1
11,794,RC,1,1,-1,1
11,807,FRC,-1,-1,-1,0
11,809,RC,1,1,1,1
11,810,FRC,-1,1,1,1
11,828,FRC,-1,1,-1,0
11,836,RC,1,1,-1,1
11,839,FRC,1,-1,-1,0
23,3,RC,1,1,1,1
23,16,RC,1,1,-1,1
23,25,FRC,1,1,1,1
23,26,FRC,1,-1,-1,0
23,31,FRC,-1,-1,-1,0
23,40,FRC,-1,-1,1,0
23,44,FRC,-1,1,1,1
23,49,FRC,-1,1,1,1
23,53,FRC,1,-1,1,1
23,61,RC,1,-1,-1,0
23,67,RC,1,-1,-1,0
23,68,RC,-1,1,-1,1
23,74,RC,1,1,1,1
23,75,FRC,-1,1,1,1
23,77,FRC,-1,-1,-1,0
23,79,RC,-1,-1,1,0
23,81,FRC,1,-1,1,1
23,86,FRC,1,1,-1,1
23,89,FRC,1,-1,-1,0
23,92,RC,1,1,1,1
23,94,FRC,-1,-1,-1,0
23,96,RC,-1,1,-1,1
23,98,FRC,-1,1,1,1
23,106,FRC,1,-1,1,1
23,110,RC,-1,1,-1,1
23,116,RC,1,1,-1,1
23,123,FRC,1,-1,-1,0
23,139,FRC,1,1,1,1
23,145,RC,-1,1,-1,1
23,150,FRC,1,-1,1,1
23,152,FRC,-1,-1,-1,0
23,160,RC,-1,-1,-1,0
23,161,RC,1,-1,1,0
23,166,FRC,1,1,1,1
23,168,RC,1,1,1,1
23,172,RC,-1,-1,1,0
23,180,RC,1,-1,1,0
23,182,RC,1,1,1,1
23,186,RC,-1,1,1,1
23,188,FRC,-1,-1,1,0
23,193,FRC,1,-1,1,1
23,194,FRC,-1,1,-1,0
23,199,RC,-1,1,1,1
23,207,RC,-1,1,1,1
23,209,RC,-1,-1,-1,0
23,213,FRC,-1,-1,-1,0
23,216,FRC,1,-1,-1,0
23,219,RC,-1,-1,-1,0
23,220,FRC,-1,-1,-1,0
23,221,RC,1,-1,1,0
23,231,RC,1,-1,-1,0
23,237,FRC,1,1,1,1
23,239,RC,1,1,-1,1
23,240,FRC,-1,-1,-1,0
23,246,FRC,-1,-1,1,0
23,249,RC,-1,-1,1,0
