seed,head,RC,disagree_RC,params,FRC
11,linear_RC,0.5083333253860474,0.016949152573943138,98,
11,nonlinear_RC,0.4749999940395355,0.0,1226,
11,linear_FRC,,,0,0.800000011920929
11,nonlinear_FRC,,,0,0.800000011920929
23,linear_RC,0.5249999761581421,0.08474576473236084,98,
23,nonlinear_RC,0.5,0.033898305147886276,1226,
23,linear_FRC,,,0,0.7416666746139526
23,nonlinear_FRC,,,0,0.7749999761581421
37,linear_RC,0.6000000238418579,0.07999999821186066,98,
37,nonlinear_RC,0.574999988079071,0.10000000149011612,1226,
37,linear_FRC,,,0,0.7416666746139526
37,nonlinear_FRC,,,0,0.7333333492279053
