seed,representation,joint_acc,R_marginal,C_marginal
11,rel,0.2750000059604645,0.44999998807907104,0.574999988079071
11,ctx,0.40833333134651184,0.40833333134651184,1.0
11,R+C,0.38333332538604736,0.4166666567325592,0.9083333611488342
11,F+R+C,0.3583333194255829,0.3916666805744171,0.9166666865348816
23,rel,0.21666666865348816,0.4333333373069763,0.5083333253860474
23,ctx,0.49166667461395264,0.49166667461395264,1.0
23,R+C,0.4833333194255829,0.49166667461395264,0.9833333492279053
23,F+R+C,0.4833333194255829,0.49166667461395264,0.9833333492279053
37,rel,0.24166665971279144,0.550000011920929,0.5083333253860474
37,ctx,0.40833333134651184,0.42500001192092896,0.9833333492279053
37,R+C,0.42500001192092896,0.4833333194255829,0.9333333373069763
37,F+R+C,0.42500001192092896,0.46666666865348816,0.9416666626930237
