seed,condition,variant,R,RC,FRC
11,graph,original,0.5916666388511658,0.40833333134651184,0.4749999940395355
11,graph,relational_permuted,0.5916666388511658,0.40833333134651184,0.4749999940395355
11,joint_co,original,0.6416666507720947,0.5083333253860474,0.800000011920929
11,joint_co,relational_permuted,0.6083333492279053,0.5083333253860474,0.800000011920929
11,bestcomp,original,0.6499999761581421,0.5166666507720947,0.800000011920929
11,bestcomp,relational_permuted,0.5916666388511658,0.5166666507720947,0.800000011920929
23,graph,original,0.7749999761581421,0.5333333611488342,0.8666666746139526
23,graph,relational_permuted,0.5833333134651184,0.49166667461395264,0.8666666746139526
23,joint_co,original,0.6499999761581421,0.5083333253860474,0.7250000238418579
23,joint_co,relational_permuted,0.4833333194255829,0.5083333253860474,0.75
23,bestcomp,original,0.7749999761581421,0.5833333134651184,0.8666666746139526
23,bestcomp,relational_permuted,0.5833333134651184,0.5833333134651184,0.8666666746139526
37,graph,original,0.5166666507720947,0.6166666746139526,0.22499999403953552
37,graph,relational_permuted,0.5166666507720947,0.6166666746139526,0.22499999403953552
37,joint_co,original,0.6916666626930237,0.574999988079071,0.7666666507720947
37,joint_co,relational_permuted,0.6916666626930237,0.5916666388511658,0.7666666507720947
37,bestcomp,original,0.7250000238418579,0.6166666746139526,0.7666666507720947
37,bestcomp,relational_permuted,0.6666666865348816,0.6166666746139526,0.7666666507720947
