seed,expert,params,flops
11,mlp,3914,9146.0
11,graph,3866,8330.0
11,attention,3314,39386.0
11,attention_v2,3914,46514.0
11,joint,4493,21602.0
11,joint_co,6464,31970.0
11,depth3,10016,35426.0
23,mlp,3914,9146.0
23,graph,3866,8330.0
23,attention,3314,39386.0
23,attention_v2,3914,46514.0
23,joint,4493,21602.0
23,joint_co,6464,31970.0
23,depth3,10016,35426.0
37,mlp,3914,9146.0
37,graph,3866,8330.0
37,attention,3314,39386.0
37,attention_v2,3914,46514.0
37,joint,4493,21602.0
37,joint_co,6464,31970.0
37,depth3,10016,35426.0
