seed,policy,F,R,C,FR,RC,FC,FRC
11,oracle_k=1,1.0,0.6499999761581421,1.0,0.7666666507720947,0.5166666507720947,0.8999999761581421,0.800000011920929
11,oracle_k=2,1.0,0.6666666865348816,1.0,0.7583333253860474,0.5166666507720947,0.7666666507720947,0.800000011920929
11,oracle_k=3,1.0,0.6583333611488342,1.0,0.7583333253860474,0.5166666507720947,0.7749999761581421,0.800000011920929
11,chain_mlp->graph,0.5,0.5916666388511658,0.5,0.4416666626930237,0.40833333134651184,0.5,0.49166667461395264
11,chain_graph->mlp,0.75,0.5833333134651184,0.4749999940395355,0.6916666626930237,0.4166666567325592,0.7333333492279053,0.44999998807907104
11,chain_graph->attention_v2,0.5,0.5083333253860474,0.8500000238418579,0.7083333134651184,0.3916666805744171,0.5666666626930237,0.40833333134651184
11,chain_attention_v2->graph,0.5,0.5916666388511658,0.5,0.4416666626930237,0.40833333134651184,0.5,0.4749999940395355
11,chain_mlp->attention_v2,0.5,0.44999998807907104,0.9833333492279053,0.7416666746139526,0.5166666507720947,0.625,0.5833333134651184
11,chain_attention_v2->mlp,1.0,0.5916666388511658,0.5916666388511658,0.7583333253860474,0.4000000059604645,0.8416666388511658,0.6166666746139526
23,oracle_k=1,1.0,0.7749999761581421,1.0,0.75,0.5833333134651184,0.8999999761581421,0.8666666746139526
23,oracle_k=2,1.0,0.7666666507720947,1.0,0.7583333253860474,0.5666666626930237,0.7583333253860474,0.8333333134651184
23,oracle_k=3,1.0,0.7749999761581421,1.0,0.75,0.5416666865348816,0.7583333253860474,0.8416666388511658
23,chain_mlp->graph,0.5,0.5083333253860474,0.5,0.5416666865348816,0.49166667461395264,0.5249999761581421,0.5249999761581421
23,chain_graph->mlp,0.75,0.49166667461395264,0.5,0.5166666507720947,0.4749999940395355,0.7166666388511658,0.6916666626930237
23,chain_graph->attention_v2,0.46666666865348816,0.4749999940395355,0.9583333134651184,0.34166666865348816,0.5249999761581421,0.49166667461395264,0.7583333253860474
23,chain_attention_v2->graph,0.25,0.6916666626930237,0.5,0.4749999940395355,0.5083333253860474,0.3083333373069763,0.6416666507720947
23,chain_mlp->attention_v2,0.5,0.4833333194255829,0.9166666865348816,0.4833333194255829,0.5083333253860474,0.6499999761581421,0.5833333134651184
23,chain_attention_v2->mlp,0.75,0.49166667461395264,0.5916666388511658,0.7333333492279053,0.5416666865348816,0.8500000238418579,0.5249999761581421
37,oracle_k=1,1.0,0.7250000238418579,1.0,0.7916666865348816,0.6166666746139526,0.8500000238418579,0.7666666507720947
37,oracle_k=2,1.0,0.7666666507720947,1.0,0.800000011920929,0.6333333253860474,0.7916666865348816,0.7666666507720947
37,oracle_k=3,1.0,0.7583333253860474,1.0,0.800000011920929,0.6000000238418579,0.7916666865348816,0.7666666507720947
37,chain_mlp->graph,0.5,0.5083333253860474,0.5,0.5,0.6000000238418579,0.5,0.4833333194255829
37,chain_graph->mlp,0.5,0.5083333253860474,0.5,0.5,0.6000000238418579,0.5,0.49166667461395264
37,chain_graph->attention_v2,0.5,0.5083333253860474,0.8083333373069763,0.5166666507720947,0.5916666388511658,0.44999998807907104,0.5333333611488342
37,chain_attention_v2->graph,0.5,0.4833333194255829,0.4333333373069763,0.550000011920929,0.5916666388511658,0.5333333611488342,0.34166666865348816
37,chain_mlp->attention_v2,0.5,0.46666666865348816,0.9750000238418579,0.7083333134651184,0.6000000238418579,0.550000011920929,0.550000011920929
37,chain_attention_v2->mlp,1.0,0.5416666865348816,0.875,0.7583333253860474,0.4833333194255829,0.7833333611488342,0.6583333611488342
