seed,expert,latency_us,throughput_per_s
11,mlp,20.18500000607067,49541.738900136166
11,graph,19.084666661607727,52398.08573715786
11,attention,24.45733332327412,40887.53204538365
11,attention_v2,48.66266666795127,20549.634215968475
11,joint,37.27199999654355,26829.79180330371
11,joint_co,32.68166668325041,30598.19469098579
11,depth3,54.70266665118591,18280.644458825864
23,mlp,24.055666678274672,41570.24676863881
23,graph,19.539666657995742,51177.94573996964
23,attention,15.394333337705273,64958.967567027044
23,attention_v2,35.17966666549909,28425.510949502714
23,joint,30.700000012681507,32573.28988882481
23,joint_co,43.7200000063361,22872.82707811243
23,depth3,69.47100000009718,14394.495544883493
37,mlp,21.560333334491588,46381.47214543429
37,graph,26.11700001580175,38289.23687234227
37,attention,16.471333340935722,60711.53921186995
37,attention_v2,37.222000003869965,26865.832032024882
37,joint,24.83233334108566,40270.07797714592
37,joint_co,37.59299999122353,26600.696944469986
37,depth3,66.45333332320055,15048.15409539245
