seed,model,RC_agree,RC_disagree,RC
11,mlp,0.39344263076782227,0.4237288236618042,0.40833333134651184
11,graph,0.4098360538482666,0.4067796468734741,0.40833333134651184
11,attention,0.4098360538482666,0.4067796468734741,0.40833333134651184
11,attention_v2,1.0,0.016949152573943138,0.5166666507720947
11,joint,1.0,0.0,0.5083333253860474
11,joint_co,1.0,0.0,0.5083333253860474
11,depth3,1.0,0.0,0.5083333253860474
11,oracle_k2,1.0,0.016949152573943138,0.5166666507720947
23,mlp,0.5409836173057556,0.6271186470985413,0.5833333134651184
23,graph,0.5737704634666443,0.49152541160583496,0.5333333611488342
23,attention,0.49180328845977783,0.4576271176338196,0.4749999940395355
23,attention_v2,0.9836065769195557,0.06779661029577255,0.5333333611488342
23,joint,1.0,0.0,0.5083333253860474
23,joint_co,1.0,0.0,0.5083333253860474
23,depth3,0.9672130942344666,0.0,0.49166667461395264
23,oracle_k2,0.5737704634666443,0.5593220591545105,0.5666666626930237
37,mlp,0.3857142925262451,0.36000001430511475,0.375
37,graph,0.6428571343421936,0.5799999833106995,0.6166666746139526
37,attention,0.6142857074737549,0.5400000214576721,0.5833333134651184
37,attention_v2,1.0,0.03999999910593033,0.6000000238418579
37,joint,0.9857142567634583,0.019999999552965164,0.5833333134651184
37,joint_co,0.9714285731315613,0.019999999552965164,0.574999988079071
37,depth3,0.9714285731315613,0.03999999910593033,0.5833333134651184
37,oracle_k2,0.6571428775787354,0.6000000238418579,0.6333333253860474
