seed,condition,R,RC,FRC
11,capacity_depth1,0.6416666507720947,0.5083333253860474,0.800000011920929
11,capacity_depth2,0.7166666388511658,0.5083333253860474,0.6833333373069763
11,capacity_depth3,0.5833333134651184,0.5083333253860474,0.7666666507720947
11,heads_best,,0.5083333253860474,
23,capacity_depth1,0.6499999761581421,0.5083333253860474,0.7250000238418579
23,capacity_depth2,0.6833333373069763,0.5083333253860474,0.75
23,capacity_depth3,0.7166666388511658,0.49166667461395264,0.7666666507720947
23,heads_best,,0.550000011920929,
37,capacity_depth1,0.6916666626930237,0.574999988079071,0.7666666507720947
37,capacity_depth2,0.625,0.574999988079071,0.75
37,capacity_depth3,0.7250000238418579,0.5833333134651184,0.7416666746139526
37,heads_best,,0.6000000238418579,
