seed,location,R_dec,RC_dec
11,input,0.550000011920929,0.3583333194255829
11,relational_output,0.6154761910438538,0.44999998807907104
11,fusion,0.5952380895614624,0.6833333373069763
11,final_representation,0.5690476298332214,0.7083333134651184
11,RC_target_head_final,,0.4749999940395355
23,input,0.5357142686843872,0.4749999940395355
23,relational_output,0.7154762148857117,0.6000000238418579
23,fusion,0.6571428775787354,0.8166666626930237
23,final_representation,0.5797619223594666,0.7666666507720947
23,RC_target_head_final,,0.5166666507720947
37,input,0.5511904954910278,0.46666666865348816
37,relational_output,0.6119047403335571,0.4749999940395355
37,fusion,0.6023809313774109,0.7333333492279053
37,final_representation,0.5761904716491699,0.800000011920929
37,RC_target_head_final,,0.5916666388511658
