seed,order,R,RC,FRC
11,R->C,0.5083333253860474,0.3916666805744171,0.40833333134651184
11,C->R,0.5916666388511658,0.40833333134651184,0.4749999940395355
11,R->C_intermediate,,0.49166667461395264,
11,C->R_intermediate,,0.5249999761581421,
23,R->C,0.4749999940395355,0.5249999761581421,0.7583333253860474
23,C->R,0.6916666626930237,0.5083333253860474,0.6416666507720947
23,R->C_intermediate,,0.5833333134651184,
23,C->R_intermediate,,0.4833333194255829,
37,R->C,0.5083333253860474,0.5916666388511658,0.5333333611488342
37,C->R,0.4833333194255829,0.5916666388511658,0.34166666865348816
37,R->C_intermediate,,0.5666666626930237,
37,C->R_intermediate,,0.49166667461395264,
