artifact,path,exists,size_bytes,sha256,note
phase20_summary,results\metrics\phase20_repaired_portfolio\summary.json,YES,51136,a95fc7977c7cdead678180d1aad8b117fad59cb84097db3a984184066709f2a9,
phase21_summary,results\metrics\phase21_rc_diagnosis\summary.json,YES,10866,07a06d17e480e6b5886d74b1e01fcf6d07422bafcf9b4e80c11adf15176c4a72,
phase20_report,results\reports\phase20_repaired_portfolio.md,YES,4502,721991e04728c7981f77309f912b14dc3b1f21978807c13aab359df8b6157871,
phase21_report,docs\research\phase21_rc_diagnosis.md,YES,4396,4542f51bd8fe1c02dbbae6081f992c9a334d66211f09de276889ef2fe7caa9d0,
phase20_log,docs\architecture\phase20_log.md,YES,4400,a4b842ada63587b402d051b0f444f477c2d07cd402fa5f93892e039529865476,
benchmark_source,src\neuroforge\datasets\phase9_mixed_repaired.py,YES,6739,a42b17e1a1d563bdb67c3777b71421c348dca1a5de1bcdc604d42ba1c006a81e,
phase20_evaluator,src\neuroforge\evaluation\phase20_repaired_portfolio.py,YES,14154,5b667a4bc774e097f7ba428e7b40f0b0dea0d88d3c0ac896176fd5b1a992d12c,
phase21_evaluator,src\neuroforge\evaluation\phase21_rc_diagnosis.py,YES,22844,1fc9cd36d223bfc4193f68c5c4b94d86189056bb7e837de2cf31f73fe82f3df0,
phase20_training,src\neuroforge\training\phase20_repaired_portfolio.py,YES,53621,195cbbc32557d906f407a570824ebfe6ff30ad1ad0c7282e3fc0b19c2784a411,
phase21_training,src\neuroforge\training\phase21_rc_diagnosis.py,YES,46667,e4d3231b87d9e6a9908b4e2cf56a2e17679f5c7b7078293e324c44673a19adb3,
phase21_script,scripts\phase21_rc_diagnosis.py,YES,8741,57f51faec26e7b662f8ac76757bd4505cc9cd55d1c480391d7866656f0222e63,
audit_script,scripts\phase22_audit_provenance.py,YES,11434,dfc32ea05a630a853768ca7f1523ea9585d9b4248d47abc420a48b0d1b0894f3,
prev_artifact_hashes,results\metrics\phase22b_reproducibility_forensics\artifact_hashes.csv,YES,1747,35be8bad28076e0c35240337205085c214929912cd5717cfb32170e68e45f177,
prev_first_divergence,results\metrics\phase22b_reproducibility_forensics\first_divergence.json,YES,2156,9bf01af1721785b8dfe0ae806fae5607109cc54ffadf2539e4207bd50570c868,
prev_metric_replay,results\metrics\phase22b_reproducibility_forensics\metric_replay.csv,YES,609,8a530f443fd376fe9dcadbb8e3ec5ff003701f0951b37765d499fdc6ddcc646d,
prev_sample_trace,results\metrics\phase22b_reproducibility_forensics\sample_trace.csv,YES,298,d0b9c3fd67bbd1587794871f197950ef63f7a594cddd7cf750cd00c5471b9b3b,
