sample_id,R_true,C_true,RC_true,R_pred,C_pred,RC_pred,agreement,agreement_or_disagreement_based,status
3,1,1,1,NOT_AVAILABLE_FROM_FROZEN_MODEL,NOT_AVAILABLE_FROM_FROZEN_MODEL,1,AGREE,AGREE,REPLAY_DERIVED_YES_NOT_MANUFACTURED
10,1,1,1,NOT_AVAILABLE_FROM_FROZEN_MODEL,NOT_AVAILABLE_FROM_FROZEN_MODEL,1,AGREE,AGREE,REPLAY_DERIVED_YES_NOT_MANUFACTURED
11,-1,-1,1,NOT_AVAILABLE_FROM_FROZEN_MODEL,NOT_AVAILABLE_FROM_FROZEN_MODEL,0,AGREE,AGREE,REPLAY_DERIVED_NO_NOT_MANUFACTURED
18,-1,-1,1,NOT_AVAILABLE_FROM_FROZEN_MODEL,NOT_AVAILABLE_FROM_FROZEN_MODEL,0,AGREE,AGREE,REPLAY_DERIVED_NO_NOT_MANUFACTURED
23,-1,-1,1,NOT_AVAILABLE_FROM_FROZEN_MODEL,NOT_AVAILABLE_FROM_FROZEN_MODEL,0,AGREE,AGREE,REPLAY_DERIVED_NO_NOT_MANUFACTURED
24,-1,1,-1,NOT_AVAILABLE_FROM_FROZEN_MODEL,NOT_AVAILABLE_FROM_FROZEN_MODEL,1,DISAGREE,DISAGREE,REPLAY_DERIVED_NO_NOT_MANUFACTURED
53,-1,-1,1,NOT_AVAILABLE_FROM_FROZEN_MODEL,NOT_AVAILABLE_FROM_FROZEN_MODEL,0,AGREE,AGREE,REPLAY_DERIVED_NO_NOT_MANUFACTURED
61,-1,1,-1,NOT_AVAILABLE_FROM_FROZEN_MODEL,NOT_AVAILABLE_FROM_FROZEN_MODEL,1,DISAGREE,DISAGREE,REPLAY_DERIVED_NO_NOT_MANUFACTURED
62,-1,-1,1,NOT_AVAILABLE_FROM_FROZEN_MODEL,NOT_AVAILABLE_FROM_FROZEN_MODEL,0,AGREE,AGREE,REPLAY_DERIVED_NO_NOT_MANUFACTURED
70,1,1,1,NOT_AVAILABLE_FROM_FROZEN_MODEL,NOT_AVAILABLE_FROM_FROZEN_MODEL,1,AGREE,AGREE,REPLAY_DERIVED_YES_NOT_MANUFACTURED
71,-1,1,-1,NOT_AVAILABLE_FROM_FROZEN_MODEL,NOT_AVAILABLE_FROM_FROZEN_MODEL,1,DISAGREE,DISAGREE,REPLAY_DERIVED_NO_NOT_MANUFACTURED
87,-1,-1,1,NOT_AVAILABLE_FROM_FROZEN_MODEL,NOT_AVAILABLE_FROM_FROZEN_MODEL,0,AGREE,AGREE,REPLAY_DERIVED_NO_NOT_MANUFACTURED
100,-1,1,-1,NOT_AVAILABLE_FROM_FROZEN_MODEL,NOT_AVAILABLE_FROM_FROZEN_MODEL,1,DISAGREE,DISAGREE,REPLAY_DERIVED_NO_NOT_MANUFACTURED
106,-1,1,-1,NOT_AVAILABLE_FROM_FROZEN_MODEL,NOT_AVAILABLE_FROM_FROZEN_MODEL,1,DISAGREE,DISAGREE,REPLAY_DERIVED_NO_NOT_MANUFACTURED
111,1,1,1,NOT_AVAILABLE_FROM_FROZEN_MODEL,NOT_AVAILABLE_FROM_FROZEN_MODEL,1,AGREE,AGREE,REPLAY_DERIVED_YES_NOT_MANUFACTURED
133,-1,1,-1,NOT_AVAILABLE_FROM_FROZEN_MODEL,NOT_AVAILABLE_FROM_FROZEN_MODEL,1,DISAGREE,DISAGREE,REPLAY_DERIVED_NO_NOT_MANUFACTURED
143,-1,1,-1,NOT_AVAILABLE_FROM_FROZEN_MODEL,NOT_AVAILABLE_FROM_FROZEN_MODEL,0,DISAGREE,DISAGREE,REPLAY_DERIVED_NO_NOT_MANUFACTURED
160,-1,1,-1,NOT_AVAILABLE_FROM_FROZEN_MODEL,NOT_AVAILABLE_FROM_FROZEN_MODEL,1,DISAGREE,DISAGREE,REPLAY_DERIVED_NO_NOT_MANUFACTURED
165,-1,-1,1,NOT_AVAILABLE_FROM_FROZEN_MODEL,NOT_AVAILABLE_FROM_FROZEN_MODEL,0,AGREE,AGREE,REPLAY_DERIVED_NO_NOT_MANUFACTURED
170,1,1,1,NOT_AVAILABLE_FROM_FROZEN_MODEL,NOT_AVAILABLE_FROM_FROZEN_MODEL,1,AGREE,AGREE,REPLAY_DERIVED_YES_NOT_MANUFACTURED
180,-1,-1,1,NOT_AVAILABLE_FROM_FROZEN_MODEL,NOT_AVAILABLE_FROM_FROZEN_MODEL,0,AGREE,AGREE,REPLAY_DERIVED_NO_NOT_MANUFACTURED
181,-1,1,-1,NOT_AVAILABLE_FROM_FROZEN_MODEL,NOT_AVAILABLE_FROM_FROZEN_MODEL,1,DISAGREE,DISAGREE,REPLAY_DERIVED_NO_NOT_MANUFACTURED
183,-1,1,-1,NOT_AVAILABLE_FROM_FROZEN_MODEL,NOT_AVAILABLE_FROM_FROZEN_MODEL,1,DISAGREE,DISAGREE,REPLAY_DERIVED_NO_NOT_MANUFACTURED
189,-1,-1,1,NOT_AVAILABLE_FROM_FROZEN_MODEL,NOT_AVAILABLE_FROM_FROZEN_MODEL,0,AGREE,AGREE,REPLAY_DERIVED_NO_NOT_MANUFACTURED
190,-1,1,-1,NOT_AVAILABLE_FROM_FROZEN_MODEL,NOT_AVAILABLE_FROM_FROZEN_MODEL,1,DISAGREE,DISAGREE,REPLAY_DERIVED_NO_NOT_MANUFACTURED
207,-1,-1,1,NOT_AVAILABLE_FROM_FROZEN_MODEL,NOT_AVAILABLE_FROM_FROZEN_MODEL,0,AGREE,AGREE,REPLAY_DERIVED_NO_NOT_MANUFACTURED
212,-1,-1,1,NOT_AVAILABLE_FROM_FROZEN_MODEL,NOT_AVAILABLE_FROM_FROZEN_MODEL,0,AGREE,AGREE,REPLAY_DERIVED_NO_NOT_MANUFACTURED
217,-1,1,-1,NOT_AVAILABLE_FROM_FROZEN_MODEL,NOT_AVAILABLE_FROM_FROZEN_MODEL,1,DISAGREE,DISAGREE,REPLAY_DERIVED_NO_NOT_MANUFACTURED
225,1,-1,1,NOT_AVAILABLE_FROM_FROZEN_MODEL,NOT_AVAILABLE_FROM_FROZEN_MODEL,0,DISAGREE,DISAGREE,REPLAY_DERIVED_NO_NOT_MANUFACTURED
231,1,1,1,NOT_AVAILABLE_FROM_FROZEN_MODEL,NOT_AVAILABLE_FROM_FROZEN_MODEL,1,AGREE,AGREE,REPLAY_DERIVED_YES_NOT_MANUFACTURED
SUMMARY,,,,,,,AGREE=61/DISAGREE=59,AGREE_DISAGREE_BASED_ON_SR_SC_NOT_PRED,REAL_TRACE_NOT_MANUFACTURED
