sample_id,family,R_true,C_true,RC_true,prediction,agreement,agreement_based_on_pred_vs_true,filter_stage,status
3,RC,1,1,1,1,AGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
10,RC,1,1,1,1,AGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
11,RC,-1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
18,RC,-1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
23,RC,-1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
24,RC,-1,1,-1,1,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
53,RC,-1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
61,RC,-1,1,-1,1,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
62,RC,-1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
70,RC,1,1,1,1,AGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
71,RC,-1,1,-1,1,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
87,RC,-1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
100,RC,-1,1,-1,1,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
106,RC,-1,1,-1,1,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
111,RC,1,1,1,1,AGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
133,RC,-1,1,-1,1,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
143,RC,-1,1,-1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
160,RC,-1,1,-1,1,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
165,RC,-1,-1,1,0,DISAGREE,PREDICTION_BASED,reconstructed_checkpoint_available,VERIFIED_FROM_CHECKPOINT_RECONSTRUCTION
