sample_id,family,true_target,predicted_target,correct,agreement_group,component_R_available,component_C_available,filter_stage,evidence_source,status
3,RC,1,1,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
10,RC,1,1,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
11,RC,0,0,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
18,RC,0,0,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
23,RC,0,0,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
24,RC,0,1,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
53,RC,0,0,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
61,RC,0,1,NO,DISAGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
62,RC,0,0,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
70,RC,1,1,YES,AGREE,NOT_FROM_MODEL,NOT_FROM_MODEL,prediction_available_from_reconstructed_checkpoint,reconstructed_predictions.npy,VERIFIED_FROM_RECONSTRUCTED_PREDICTION
