family,pair,expert_a,expert_a_acc,expert_b,expert_b_acc,approximate_oracle_union,gain_over_best_single,note
F,attention+attention_v2,attention,0.75,attention_v2,1.0,1.0,0.0,Approximate (independence assumption for binary classification); exact requires predictions.npy per architecture.
F,attention+graph,attention,0.75,graph,1.0,1.0,0.0,Approximate (independence assumption for binary classification); exact requires predictions.npy per architecture.
F,attention+joint,attention,0.75,joint,1.0,1.0,0.0,Approximate (independence assumption for binary classification); exact requires predictions.npy per architecture.
F,attention+joint_co,attention,0.75,joint_co,1.0,1.0,0.0,Approximate (independence assumption for binary classification); exact requires predictions.npy per architecture.
F,attention+joint_co_d3,attention,0.75,joint_co_d3,1.0,1.0,0.0,Approximate (independence assumption for binary classification); exact requires predictions.npy per architecture.
F,attention+mlp,attention,0.75,mlp,1.0,1.0,0.0,Approximate (independence assumption for binary classification); exact requires predictions.npy per architecture.
F,attention_v2+graph,attention_v2,1.0,graph,1.0,1.0,0.0,Approximate (independence assumption for binary classification); exact requires predictions.npy per architecture.
F,attention_v2+joint,attention_v2,1.0,joint,1.0,1.0,0.0,Approximate (independence assumption for binary classification); exact requires predictions.npy per architecture.
F,attention_v2+joint_co,attention_v2,1.0,joint_co,1.0,1.0,0.0,Approximate (independence assumption for binary classification); exact requires predictions.npy per architecture.
F,attention_v2+joint_co_d3,attention_v2,1.0,joint_co_d3,1.0,1.0,0.0,Approximate (independence assumption for binary classification); exact requires predictions.npy per architecture.
F,attention_v2+mlp,attention_v2,1.0,mlp,1.0,1.0,0.0,Approximate (independence assumption for binary classification); exact requires predictions.npy per architecture.
F,graph+joint,graph,1.0,joint,1.0,1.0,0.0,Approximate (independence assumption for binary classification); exact requires predictions.npy per architecture.
F,graph+joint_co,graph,1.0,joint_co,1.0,1.0,0.0,Approximate (independence assumption for binary classification); exact requires predictions.npy per architecture.
F,graph+joint_co_d3,graph,1.0,joint_co_d3,1.0,1.0,0.0,Approximate (independence assumption for binary classification); exact requires predictions.npy per architecture.
F,graph+mlp,graph,1.0,mlp,1.0,1.0,0.0,Approximate (independence assumption for binary classification); exact requires predictions.npy per architecture.
F,joint+joint_co,joint,1.0,joint_co,1.0,1.0,0.0,Approximate (independence assumption for binary classification); exact requires predictions.npy per architecture.
F,joint+joint_co_d3,joint,1.0,joint_co_d3,1.0,1.0,0.0,Approximate (independence assumption for binary classification); exact requires predictions.npy per architecture.
F,joint+mlp,joint,1.0,mlp,1.0,1.0,0.0,Approximate (independence assumption for binary classification); exact requires predictions.npy per architecture.
F,joint_co+joint_co_d3,joint_co,1.0,joint_co_d3,1.0,1.0,0.0,Approximate (independence assumption for binary classification); exact requires predictions.npy per architecture.
F,joint_co+mlp,joint_co,1.0,mlp,1.0,1.0,0.0,Approximate (independence assumption for binary classification); exact requires predictions.npy per architecture.
F,joint_co_d3+mlp,joint_co_d3,1.0,mlp,1.0,1.0,0.0,Approximate (independence assumption for binary classification); exact requires predictions.npy per architecture.
R,attention+attention_v2,attention,0.4861111144224803,attention_v2,0.49166667461395264,0.7387731539154494,0.24710647930149676,Approximate (independence assumption for binary classification); exact requires predictions.npy per architecture.
R,attention+graph,attention,0.4861111144224803,graph,0.6555555462837219,0.8229938235363843,0.16743827725266236,Approximate (independence assumption for binary classification); exact requires predictions.npy per architecture.
R,attention+joint,attention,0.4861111144224803,joint,0.5444444318612417,0.7658950567705397,0.221450624909298,Approximate (independence assumption for binary classification); exact requires predictions.npy per architecture.
R,attention+joint_co,attention,0.4861111144224803,joint_co,0.5638888974984487,0.7758873515474943,0.2119984540490456,Approximate (independence assumption for binary classification); exact requires predictions.npy per architecture.
R,attention+joint_co_d3,attention,0.4861111144224803,joint_co_d3,0.6416666706403097,0.8158564847100664,0.17418981406975675,Approximate (independence assumption for binary classification); exact requires predictions.npy per architecture.
R,attention+mlp,attention,0.4861111144224803,mlp,0.5749999980131785,0.7815972226085486,0.2065972245953701,Approximate (independence assumption for binary classification); exact requires predictions.npy per architecture.
R,attention_v2+graph,attention_v2,0.49166667461395264,graph,0.6555555462837219,0.8249074054316239,0.16935185914790196,Approximate (independence assumption for binary classification); exact requires predictions.npy per architecture.
