representation_name,source_checkpoint_identity,verified_checkpoint_hash_first32,dataset_identity,representation_shape,representation_hash_first32,extraction_status,note
encoder.weight,mlp (Phase 25B reference),d8d6613a2bc6514dc759fe06452832365318f0dd10407b4c6e1a0be95aee8980,phase19-repaired-v1,"[24, 8]",614e29def855289b8971cafaecb2ae58,RECONSTRUCTED_FROM_VERIFIED_CHECKPOINT,Extracted from verified Phase 25B MLP checkpoint. Not original frozen run output (original predictions.npy verified separately). No retraining performed; no architecture modified.
encoder.bias,mlp (Phase 25B reference),d8d6613a2bc6514dc759fe06452832365318f0dd10407b4c6e1a0be95aee8980,phase19-repaired-v1,[24],520e97477adbe2797cd8e48ef96d7496,RECONSTRUCTED_FROM_VERIFIED_CHECKPOINT,Extracted from verified Phase 25B MLP checkpoint. Not original frozen run output (original predictions.npy verified separately). No retraining performed; no architecture modified.
blocks.0.network.0.weight,mlp (Phase 25B reference),d8d6613a2bc6514dc759fe06452832365318f0dd10407b4c6e1a0be95aee8980,phase19-repaired-v1,"[24, 24]",f2749debf5d28074693fcda2272975ff,RECONSTRUCTED_FROM_VERIFIED_CHECKPOINT,Extracted from verified Phase 25B MLP checkpoint. Not original frozen run output (original predictions.npy verified separately). No retraining performed; no architecture modified.
blocks.0.network.0.bias,mlp (Phase 25B reference),d8d6613a2bc6514dc759fe06452832365318f0dd10407b4c6e1a0be95aee8980,phase19-repaired-v1,[24],c87bdd1c875d10ba0d7f6363d48f6109,RECONSTRUCTED_FROM_VERIFIED_CHECKPOINT,Extracted from verified Phase 25B MLP checkpoint. Not original frozen run output (original predictions.npy verified separately). No retraining performed; no architecture modified.
blocks.0.network.2.weight,mlp (Phase 25B reference),d8d6613a2bc6514dc759fe06452832365318f0dd10407b4c6e1a0be95aee8980,phase19-repaired-v1,"[24, 24]",66687b7c277fd56db3fc87f345f2e493,RECONSTRUCTED_FROM_VERIFIED_CHECKPOINT,Extracted from verified Phase 25B MLP checkpoint. Not original frozen run output (original predictions.npy verified separately). No retraining performed; no architecture modified.
blocks.0.network.2.bias,mlp (Phase 25B reference),d8d6613a2bc6514dc759fe06452832365318f0dd10407b4c6e1a0be95aee8980,phase19-repaired-v1,[24],38f5a625f452f97d174f31a567daf1ee,RECONSTRUCTED_FROM_VERIFIED_CHECKPOINT,Extracted from verified Phase 25B MLP checkpoint. Not original frozen run output (original predictions.npy verified separately). No retraining performed; no architecture modified.
blocks.1.network.0.weight,mlp (Phase 25B reference),d8d6613a2bc6514dc759fe06452832365318f0dd10407b4c6e1a0be95aee8980,phase19-repaired-v1,"[24, 24]",8692e810fb24a61d29d770802bfbb0a3,RECONSTRUCTED_FROM_VERIFIED_CHECKPOINT,Extracted from verified Phase 25B MLP checkpoint. Not original frozen run output (original predictions.npy verified separately). No retraining performed; no architecture modified.
blocks.1.network.0.bias,mlp (Phase 25B reference),d8d6613a2bc6514dc759fe06452832365318f0dd10407b4c6e1a0be95aee8980,phase19-repaired-v1,[24],a9a03f5c38bdb5b80ea8a61fa404d0ef,RECONSTRUCTED_FROM_VERIFIED_CHECKPOINT,Extracted from verified Phase 25B MLP checkpoint. Not original frozen run output (original predictions.npy verified separately). No retraining performed; no architecture modified.
blocks.1.network.2.weight,mlp (Phase 25B reference),d8d6613a2bc6514dc759fe06452832365318f0dd10407b4c6e1a0be95aee8980,phase19-repaired-v1,"[24, 24]",bc1ef4cff01a904e370c53bb94b419cf,RECONSTRUCTED_FROM_VERIFIED_CHECKPOINT,Extracted from verified Phase 25B MLP checkpoint. Not original frozen run output (original predictions.npy verified separately). No retraining performed; no architecture modified.
blocks.1.network.2.bias,mlp (Phase 25B reference),d8d6613a2bc6514dc759fe06452832365318f0dd10407b4c6e1a0be95aee8980,phase19-repaired-v1,[24],01fd811864ed7563dc89fa6dbe56d0c1,RECONSTRUCTED_FROM_VERIFIED_CHECKPOINT,Extracted from verified Phase 25B MLP checkpoint. Not original frozen run output (original predictions.npy verified separately). No retraining performed; no architecture modified.
blocks.2.network.0.weight,mlp (Phase 25B reference),d8d6613a2bc6514dc759fe06452832365318f0dd10407b4c6e1a0be95aee8980,phase19-repaired-v1,"[24, 24]",d51612c51cc19e96bec5ba4145f7d20a,RECONSTRUCTED_FROM_VERIFIED_CHECKPOINT,Extracted from verified Phase 25B MLP checkpoint. Not original frozen run output (original predictions.npy verified separately). No retraining performed; no architecture modified.
blocks.2.network.0.bias,mlp (Phase 25B reference),d8d6613a2bc6514dc759fe06452832365318f0dd10407b4c6e1a0be95aee8980,phase19-repaired-v1,[24],c89e0ab55aceac32a0ad66b9a55bcef0,RECONSTRUCTED_FROM_VERIFIED_CHECKPOINT,Extracted from verified Phase 25B MLP checkpoint. Not original frozen run output (original predictions.npy verified separately). No retraining performed; no architecture modified.
blocks.2.network.2.weight,mlp (Phase 25B reference),d8d6613a2bc6514dc759fe06452832365318f0dd10407b4c6e1a0be95aee8980,phase19-repaired-v1,"[24, 24]",90c68ac4c61ac95edbf1a85dd9a00e95,RECONSTRUCTED_FROM_VERIFIED_CHECKPOINT,Extracted from verified Phase 25B MLP checkpoint. Not original frozen run output (original predictions.npy verified separately). No retraining performed; no architecture modified.
blocks.2.network.2.bias,mlp (Phase 25B reference),d8d6613a2bc6514dc759fe06452832365318f0dd10407b4c6e1a0be95aee8980,phase19-repaired-v1,[24],65210adb4e32c98db8c5077e9d7a12f7,RECONSTRUCTED_FROM_VERIFIED_CHECKPOINT,Extracted from verified Phase 25B MLP checkpoint. Not original frozen run output (original predictions.npy verified separately). No retraining performed; no architecture modified.
head.0.weight,mlp (Phase 25B reference),d8d6613a2bc6514dc759fe06452832365318f0dd10407b4c6e1a0be95aee8980,phase19-repaired-v1,[24],b19c6b85a10144ed81792062e1ccca1b,RECONSTRUCTED_FROM_VERIFIED_CHECKPOINT,Extracted from verified Phase 25B MLP checkpoint. Not original frozen run output (original predictions.npy verified separately). No retraining performed; no architecture modified.
