representation_name,checkpoint_identity,dataset,architecture,seed,extraction_status,shape_str,hash_32,note
encoder.weight,VERIFIED (Phase 25B MLP reference; hash d8d6613...),phase19-repaired-v1,mlp,11,RECONSTRUCTED_FROM_VERIFIED_CHECKPOINT,"torch.Size([24, 8])",614e29def855289b8971cafaecb2ae58,Phase 25B MLP checkpoint loaded (verified identity; hash d8d6613...; dataset phase19-repaired-v1; seed 11). Frozen state dict extracted (no retraining; no architecture change; no weight modification).
encoder.bias,VERIFIED (Phase 25B MLP reference; hash d8d6613...),phase19-repaired-v1,mlp,11,RECONSTRUCTED_FROM_VERIFIED_CHECKPOINT,torch.Size([24]),520e97477adbe2797cd8e48ef96d7496,Phase 25B MLP checkpoint loaded (verified identity; hash d8d6613...; dataset phase19-repaired-v1; seed 11). Frozen state dict extracted (no retraining; no architecture change; no weight modification).
blocks.0.network.0.weight,VERIFIED (Phase 25B MLP reference; hash d8d6613...),phase19-repaired-v1,mlp,11,RECONSTRUCTED_FROM_VERIFIED_CHECKPOINT,"torch.Size([24, 24])",f2749debf5d28074693fcda2272975ff,Phase 25B MLP checkpoint loaded (verified identity; hash d8d6613...; dataset phase19-repaired-v1; seed 11). Frozen state dict extracted (no retraining; no architecture change; no weight modification).
blocks.0.network.0.bias,VERIFIED (Phase 25B MLP reference; hash d8d6613...),phase19-repaired-v1,mlp,11,RECONSTRUCTED_FROM_VERIFIED_CHECKPOINT,torch.Size([24]),c87bdd1c875d10ba0d7f6363d48f6109,Phase 25B MLP checkpoint loaded (verified identity; hash d8d6613...; dataset phase19-repaired-v1; seed 11). Frozen state dict extracted (no retraining; no architecture change; no weight modification).
blocks.0.network.2.weight,VERIFIED (Phase 25B MLP reference; hash d8d6613...),phase19-repaired-v1,mlp,11,RECONSTRUCTED_FROM_VERIFIED_CHECKPOINT,"torch.Size([24, 24])",66687b7c277fd56db3fc87f345f2e493,Phase 25B MLP checkpoint loaded (verified identity; hash d8d6613...; dataset phase19-repaired-v1; seed 11). Frozen state dict extracted (no retraining; no architecture change; no weight modification).
blocks.0.network.2.bias,VERIFIED (Phase 25B MLP reference; hash d8d6613...),phase19-repaired-v1,mlp,11,RECONSTRUCTED_FROM_VERIFIED_CHECKPOINT,torch.Size([24]),38f5a625f452f97d174f31a567daf1ee,Phase 25B MLP checkpoint loaded (verified identity; hash d8d6613...; dataset phase19-repaired-v1; seed 11). Frozen state dict extracted (no retraining; no architecture change; no weight modification).
blocks.1.network.0.weight,VERIFIED (Phase 25B MLP reference; hash d8d6613...),phase19-repaired-v1,mlp,11,RECONSTRUCTED_FROM_VERIFIED_CHECKPOINT,"torch.Size([24, 24])",8692e810fb24a61d29d770802bfbb0a3,Phase 25B MLP checkpoint loaded (verified identity; hash d8d6613...; dataset phase19-repaired-v1; seed 11). Frozen state dict extracted (no retraining; no architecture change; no weight modification).
blocks.1.network.0.bias,VERIFIED (Phase 25B MLP reference; hash d8d6613...),phase19-repaired-v1,mlp,11,RECONSTRUCTED_FROM_VERIFIED_CHECKPOINT,torch.Size([24]),a9a03f5c38bdb5b80ea8a61fa404d0ef,Phase 25B MLP checkpoint loaded (verified identity; hash d8d6613...; dataset phase19-repaired-v1; seed 11). Frozen state dict extracted (no retraining; no architecture change; no weight modification).
blocks.1.network.2.weight,VERIFIED (Phase 25B MLP reference; hash d8d6613...),phase19-repaired-v1,mlp,11,RECONSTRUCTED_FROM_VERIFIED_CHECKPOINT,"torch.Size([24, 24])",bc1ef4cff01a904e370c53bb94b419cf,Phase 25B MLP checkpoint loaded (verified identity; hash d8d6613...; dataset phase19-repaired-v1; seed 11). Frozen state dict extracted (no retraining; no architecture change; no weight modification).
blocks.1.network.2.bias,VERIFIED (Phase 25B MLP reference; hash d8d6613...),phase19-repaired-v1,mlp,11,RECONSTRUCTED_FROM_VERIFIED_CHECKPOINT,torch.Size([24]),01fd811864ed7563dc89fa6dbe56d0c1,Phase 25B MLP checkpoint loaded (verified identity; hash d8d6613...; dataset phase19-repaired-v1; seed 11). Frozen state dict extracted (no retraining; no architecture change; no weight modification).
blocks.2.network.0.weight,VERIFIED (Phase 25B MLP reference; hash d8d6613...),phase19-repaired-v1,mlp,11,RECONSTRUCTED_FROM_VERIFIED_CHECKPOINT,"torch.Size([24, 24])",d51612c51cc19e96bec5ba4145f7d20a,Phase 25B MLP checkpoint loaded (verified identity; hash d8d6613...; dataset phase19-repaired-v1; seed 11). Frozen state dict extracted (no retraining; no architecture change; no weight modification).
blocks.2.network.0.bias,VERIFIED (Phase 25B MLP reference; hash d8d6613...),phase19-repaired-v1,mlp,11,RECONSTRUCTED_FROM_VERIFIED_CHECKPOINT,torch.Size([24]),c89e0ab55aceac32a0ad66b9a55bcef0,Phase 25B MLP checkpoint loaded (verified identity; hash d8d6613...; dataset phase19-repaired-v1; seed 11). Frozen state dict extracted (no retraining; no architecture change; no weight modification).
blocks.2.network.2.weight,VERIFIED (Phase 25B MLP reference; hash d8d6613...),phase19-repaired-v1,mlp,11,RECONSTRUCTED_FROM_VERIFIED_CHECKPOINT,"torch.Size([24, 24])",90c68ac4c61ac95edbf1a85dd9a00e95,Phase 25B MLP checkpoint loaded (verified identity; hash d8d6613...; dataset phase19-repaired-v1; seed 11). Frozen state dict extracted (no retraining; no architecture change; no weight modification).
