cell,architecture,family,seed,validation_accuracy,test_accuracy,test_loss,training_seconds,parameters,estimated_forward_flops,activation_elements,batch_latency_ms,samples_per_second,peak_python_memory_bytes
mlp__feature,mlp,feature,11,1.0,1.0,0.4798641875386238,1.180163300014101,3914,8928.0,1152.0,1.753309997729957,34220.987776082446,2552.0
mlp__feature,mlp,feature,23,1.0,1.0,0.38525815308094025,1.1078940000152215,3914,8928.0,1152.0,1.6802400001324713,35709.184399412916,2552.0
mlp__feature,mlp,feature,37,1.0,1.0,0.10838206857442856,1.1089957000222057,3914,8928.0,1152.0,1.4870700018946081,40347.79796751783,2552.0
graph__feature,graph,feature,11,1.0,1.0,0.3069492280483246,1.0354679999873042,3866,8112.0,864.0,1.8258199968840927,32861.94701689914,2024.0
graph__feature,graph,feature,23,1.0,1.0,0.2839135453104973,0.9725580999511294,3866,8112.0,864.0,1.7727700003888458,33845.338079299276,2024.0
graph__feature,graph,feature,37,1.0,1.0,0.36490652710199356,0.9733975999988616,3866,8112.0,864.0,1.7678699980024248,33939.147147582116,2024.0
attention__feature,attention,feature,11,0.75,0.75,0.6077455282211304,0.9458932999987155,3314,39168.0,576.0,1.6452700016088784,36468.178439603915,2728.0
attention__feature,attention,feature,23,0.75,0.75,0.39007654786109924,0.9970035000005737,3314,39168.0,576.0,1.644569996278733,36483.70098917382,2728.0
attention__feature,attention,feature,37,0.75,0.75,0.6238657981157303,1.00584339996567,3314,39168.0,576.0,1.6513400012627244,36334.12861925467,2728.0
mlp__relational,mlp,relational,11,0.5916666666666667,0.5916666666666667,0.6637701690196991,1.13459780003177,3914,8928.0,1152.0,1.8863199977204204,31807.96475280376,2552.0
mlp__relational,mlp,relational,23,0.625,0.6375,0.6520760655403137,1.1627347000176087,3914,8928.0,1152.0,1.4788700034841895,40571.51734678582,2552.0
mlp__relational,mlp,relational,37,0.65,0.5958333333333333,0.679278239607811,1.1185007999883965,3914,8928.0,1152.0,1.5491399972233921,38731.16703948079,2552.0
graph__relational,graph,relational,11,0.725,0.6625,0.6196583807468414,1.028846400033217,3866,8112.0,864.0,2.016750001348555,29750.836722389664,2024.0
graph__relational,graph,relational,23,0.7583333333333333,0.7458333333333333,0.5742897242307663,1.0720115000149235,3866,8112.0,864.0,1.8486600019969046,32455.94102495244,2024.0
graph__relational,graph,relational,37,0.75,0.7333333333333333,0.5789653211832047,1.0509640999953263,3866,8112.0,864.0,1.9033599994145334,31523.201085688353,2024.0
attention__relational,attention,relational,11,0.6083333333333333,0.5333333333333333,0.6949812173843384,0.9887710000039078,3314,39168.0,576.0,1.939849997870624,30930.226597861732,2728.0
attention__relational,attention,relational,23,0.55,0.55,0.6893310397863388,1.05627070000628,3314,39168.0,576.0,1.6238000011071563,36950.36332004568,2728.0
attention__relational,attention,relational,37,0.65,0.4708333333333333,0.7061765342950821,1.015209999983199,3314,39168.0,576.0,1.7907299974467605,33505.88870770499,2728.0
mlp__contextual,mlp,contextual,11,0.9916666666666667,0.9875,0.061348491348326206,1.1664137999759987,3914,8928.0,1152.0,1.4205899962689728,42235.97248860232,2552.0
mlp__contextual,mlp,contextual,23,1.0,0.9833333333333333,0.08280752412974834,1.1778459000051953,3914,8928.0,1152.0,1.4068599964957684,42648.166945857476,2552.0
mlp__contextual,mlp,contextual,37,1.0,0.9958333333333333,0.018375340849161148,1.1845348000060767,3914,8928.0,1152.0,1.7684799968264997,33927.44057476972,2552.0
graph__contextual,graph,contextual,11,0.9916666666666667,0.9833333333333333,0.05303941178135574,1.0665058000013232,3866,8112.0,864.0,1.6945699986536056,35407.21247730815,2024.0
graph__contextual,graph,contextual,23,1.0,0.9916666666666667,0.03138131578452885,1.2792305000475608,3866,8112.0,864.0,2.1554699982516468,27836.156406105136,2024.0
graph__contextual,graph,contextual,37,0.9916666666666667,0.9958333333333333,0.21920394152402878,1.1930995999719016,3866,8112.0,864.0,2.3226400022394955,25832.673140111187,2024.0
attention__contextual,attention,contextual,11,1.0,0.9916666666666667,0.014402657048776746,1.1536893000011332,3314,39168.0,576.0,2.3226300021633506,25832.78436260387,2728.0
attention__contextual,attention,contextual,23,1.0,0.9958333333333333,0.1052316427230835,1.0090875999885611,3314,39168.0,576.0,1.4632599952165037,41004.33292521088,2728.0
attention__contextual,attention,contextual,37,1.0,1.0,0.018812442431226373,1.0024551000096835,3314,39168.0,576.0,1.7199599999003112,34884.53220044512,2728.0
