cell,architecture,family,seed,validation_accuracy,test_accuracy,test_loss,training_seconds,parameters,estimated_forward_flops,activation_elements,batch_latency_ms,samples_per_second,peak_python_memory_bytes
mlp__feature,mlp,feature,11,1.0,1.0,0.4761894419789314,1.6966973999515176,3914,8928.0,1152.0,2.12399999727495,28248.587606863846,2528.0
mlp__feature,mlp,feature,23,1.0,1.0,0.3853079378604889,1.526417000044603,3914,8928.0,1152.0,2.0110500045120716,29835.16066998912,2528.0
mlp__feature,mlp,feature,37,1.0,1.0,0.3589104935526848,1.2556040000054054,3914,8928.0,1152.0,1.7276800004765391,34728.65344476433,2552.0
graph__feature,graph,feature,11,1.0,1.0,0.30203142017126083,1.2153631999972276,3866,8112.0,864.0,1.9408599997404963,30914.130853344566,2024.0
graph__feature,graph,feature,23,1.0,1.0,0.2669231966137886,1.1400902000023052,3866,8112.0,864.0,1.8418700026813895,32575.588892078245,2024.0
graph__feature,graph,feature,37,1.0,1.0,0.34126437455415726,1.1516143000335433,3866,8112.0,864.0,2.2635200002696365,26507.386721943098,2024.0
attention__feature,attention,feature,11,0.75,0.75,0.6049399673938751,1.087174899992533,3314,39168.0,576.0,1.5584299981128424,38500.285590405794,2728.0
attention__feature,attention,feature,23,0.75,0.75,0.6843801736831665,1.145673299964983,3314,39168.0,576.0,1.6134199977386743,37188.08498970781,2728.0
attention__feature,attention,feature,37,0.75,0.75,0.6843274980783463,1.0691014000331052,3314,39168.0,576.0,1.499529997818172,40012.53731989388,2728.0
attention_v2__feature,attention_v2,feature,11,1.0,1.0,0.32212741672992706,1.4316475000232458,3914,46296.0,1152.0,3.3758599951397628,17773.248916241257,3160.0
attention_v2__feature,attention_v2,feature,23,1.0,0.9958333333333333,0.31850504875183105,1.399234400014393,3914,46296.0,1152.0,3.113319998374209,19272.031153666278,3160.0
attention_v2__feature,attention_v2,feature,37,0.75,0.75,0.5858339816331863,1.3967543999897316,3914,46296.0,1152.0,3.3863899996504188,17717.982868539617,3160.0
mlp__relational,mlp,relational,11,0.6,0.5958333333333333,0.6683946698904037,1.1220445000217296,3914,8928.0,1152.0,1.6581700008828193,36184.46840074036,2552.0
mlp__relational,mlp,relational,23,0.6166666666666667,0.5625,0.6814951151609421,1.1611575999995694,3914,8928.0,1152.0,1.3945499958936125,43024.631728282104,2552.0
mlp__relational,mlp,relational,37,0.6083333333333333,0.6291666666666667,0.6627780050039291,1.3204024999868125,3914,8928.0,1152.0,1.6829100030008703,35652.53037477428,2552.0
graph__relational,graph,relational,11,0.75,0.7166666666666667,0.6135217994451523,1.0233200999791734,3866,8112.0,864.0,1.7882400017697364,33552.54324957547,2024.0
graph__relational,graph,relational,23,0.8,0.725,0.6174673289060593,1.0161672999965958,3866,8112.0,864.0,1.6770699992775917,35776.68196667126,2024.0
graph__relational,graph,relational,37,0.7083333333333334,0.725,0.6245288550853729,1.034482899995055,3866,8112.0,864.0,1.642800000263378,36523.009490127006,2024.0
attention__relational,attention,relational,11,0.5416666666666666,0.5208333333333334,0.6912002712488174,0.9894219000125304,3314,39168.0,576.0,1.8432300013955683,32551.55349824606,2728.0
attention__relational,attention,relational,23,0.5833333333333334,0.49166666666666664,0.6933758705854416,1.1302722000400536,3314,39168.0,576.0,1.9347900000866503,31011.11748422975,2728.0
attention__relational,attention,relational,37,0.6,0.5333333333333333,0.6982558071613312,0.9765539999934845,3314,39168.0,576.0,1.591529999859631,37699.57211318156,2728.0
attention_v2__relational,attention_v2,relational,11,0.525,0.475,0.6979270130395889,1.4487231000093743,3914,46296.0,1152.0,3.4095300012268126,17597.73340560455,3160.0
attention_v2__relational,attention_v2,relational,23,0.5583333333333333,0.5041666666666667,0.6937151402235031,1.4920931999804452,3914,46296.0,1152.0,3.3494199975393713,17913.549224665345,3160.0
attention_v2__relational,attention_v2,relational,37,0.5416666666666666,0.5333333333333333,0.6934643685817719,1.3812116999761201,3914,46296.0,1152.0,3.229170001577586,18580.62597221189,3160.0
mlp__contextual,mlp,contextual,11,0.55,0.4375,0.7001737058162689,1.135981699975673,3914,8928.0,1152.0,1.7335399985313416,34611.257917805255,2552.0
mlp__contextual,mlp,contextual,23,0.575,0.4666666666666667,0.7041253745555878,1.263786799972877,3914,8928.0,1152.0,1.5541700005996972,38605.81530775153,2552.0
mlp__contextual,mlp,contextual,37,0.5333333333333333,0.5041666666666667,0.6948328763246536,1.1984785000095144,3914,8928.0,1152.0,1.846960000693798,32485.81451545318,2552.0
graph__contextual,graph,contextual,11,0.5583333333333333,0.4583333333333333,0.7075363993644714,1.1368482999969274,3866,8112.0,864.0,3.0244799971114844,19838.120952131514,2024.0
graph__contextual,graph,contextual,23,0.575,0.4666666666666667,0.7055613696575165,1.0754336999962106,3866,8112.0,864.0,2.1142799989320338,28378.455091240154,2024.0
graph__contextual,graph,contextual,37,0.525,0.5291666666666667,0.693367063999176,1.1214524999959394,3866,8112.0,864.0,1.9493899948429316,30778.85910912064,2024.0
attention__contextual,attention,contextual,11,0.5583333333333333,0.4583333333333333,0.7064109742641449,1.0599762999918312,3314,39168.0,576.0,1.9762300013098866,30360.838546237403,2728.0
attention__contextual,attention,contextual,23,0.5583333333333333,0.4875,0.7025750130414963,1.0499093999969773,3314,39168.0,576.0,1.5066599997226149,39823.18506567265,2728.0
attention__contextual,attention,contextual,37,0.525,0.5125,0.6953473389148712,1.0205686000408605,3314,39168.0,576.0,1.56309999874793,38385.26009088416,2728.0
attention_v2__contextual,attention_v2,contextual,11,1.0,0.9916666666666667,0.032984438352286816,1.520502100000158,3914,46296.0,1152.0,3.2117199967615306,18681.578736782696,3160.0
attention_v2__contextual,attention_v2,contextual,23,0.9916666666666667,0.9916666666666667,0.039622921496629715,1.4216529999976046,3914,46296.0,1152.0,3.3981200016569346,17656.821998853426,3160.0
attention_v2__contextual,attention_v2,contextual,37,1.0,0.9958333333333333,0.01224541652482003,1.3961736999917775,3914,46296.0,1152.0,3.816200001165271,15722.446407860985,3160.0
