sample_id,seed,task_family,target,oracle_expert,random_expert,learned_expert,learned_entropy,mlp_pred,graph_pred,attention_v1_pred,attention_v2_pred,learned_pred,oracle_pred,is_correct,route_matches_oracle
0,11,relational,1,graph,mlp,graph,1.0806,1,1,1,1,1,1,1,1
1,11,feature,0,mlp,mlp,attention_v2,0.7698,0,1,1,0,0,0,1,0
2,11,contextual,1,attention_v2,attention_v2,attention_v2,0.6785,1,0,1,1,1,1,1,1
3,11,contextual,1,attention_v2,mlp,attention_v2,0.8005,1,0,1,1,1,1,1,1
4,11,contextual,1,attention_v2,mlp,attention_v2,0.6668,1,0,0,1,1,1,1,1
5,11,relational,1,graph,attention,graph,0.9508,1,1,1,1,1,1,1,1
6,11,feature,1,mlp,attention_v2,attention_v2,0.4784,1,1,0,1,1,1,1,0
7,11,feature,1,mlp,mlp,mlp,0.7276,1,1,1,0,1,1,1,1
8,11,feature,0,mlp,mlp,attention,1.0039,0,1,0,1,0,0,1,0
9,11,contextual,1,attention_v2,mlp,attention_v2,0.8556,1,0,1,1,1,1,1,1
10,11,relational,1,graph,attention_v2,graph,1.2484,1,0,1,0,0,0,0,1
11,11,contextual,0,attention_v2,attention_v2,attention_v2,1.1865,1,0,0,0,0,0,1,1
12,11,contextual,0,attention_v2,mlp,attention_v2,0.9873,1,0,1,0,0,0,1,1
13,11,feature,1,mlp,mlp,mlp,0.7349,1,1,1,0,1,1,1,1
14,11,feature,1,mlp,attention_v2,attention_v2,0.4671,1,1,0,1,1,1,1,0
15,11,relational,0,graph,attention_v2,graph,1.1660,1,0,0,0,0,0,1,1
16,11,contextual,1,attention_v2,graph,attention_v2,0.9832,1,0,0,1,1,1,1,1
17,11,contextual,1,attention_v2,mlp,attention_v2,0.8620,1,0,0,1,1,1,1,1
18,11,contextual,1,attention_v2,attention,attention_v2,0.8961,1,0,1,1,1,1,1,1
19,11,feature,1,mlp,attention_v2,mlp,0.7402,1,1,1,0,1,1,1,1
20,11,feature,1,mlp,attention,attention_v2,0.4733,1,1,0,1,1,1,1,0
21,11,feature,0,mlp,mlp,attention,1.0145,0,1,0,1,0,0,1,0
22,11,relational,0,graph,attention,graph,1.0491,1,0,1,0,0,0,1,1
23,11,relational,1,graph,attention_v2,graph,0.9038,1,1,0,1,1,1,1,1
