seed,condition,overall_accuracy,feature_accuracy,relational_accuracy,contextual_accuracy,macro_accuracy,estimated_forward_flops,parameters,batch_latency_ms
11,Fixed MLP,0.6652777791023254,1.0,0.4791666567325592,0.5166666507720947,0.665277769168218,8928.0,3914,2.4679533333255677
23,Fixed MLP,0.6638888716697693,1.0,0.5,0.49166667461395264,0.6638888915379842,8928.0,3914,2.4712000000060166
37,Fixed MLP,0.6666666865348816,1.0,0.5,0.5,0.6666666666666666,8928.0,3914,2.319953333335434
11,Fixed Graph,0.5666666626930237,0.5,0.7166666388511658,0.4833333194255829,0.5666666527589163,8112.0,3866,3.7268000000040047
23,Fixed Graph,0.5680555701255798,0.5041666626930237,0.7250000238418579,0.4749999940395355,0.5680555601914724,8112.0,3866,3.2649599999937586
37,Fixed Graph,0.5902777910232544,0.5,0.7250000238418579,0.5458333492279053,0.5902777910232544,8112.0,3866,2.5729799999984
11,Fixed Attention V1,0.4833333194255829,0.5583333373069763,0.4333333373069763,0.4583333432674408,0.4833333392937978,39168.0,3314,2.9229399999924985
23,Fixed Attention V1,0.48472222685813904,0.5,0.46666666865348816,0.48750001192092896,0.48472222685813904,39168.0,3314,1.8560600000000704
37,Fixed Attention V1,0.4055555462837219,0.25,0.4541666805744171,0.512499988079071,0.4055555562178294,39168.0,3314,2.1273066666708473
11,Fixed Attention V2,0.668055534362793,0.5,0.512499988079071,0.9916666746139526,0.6680555542310079,46296.0,3914,6.598960000004203
23,Fixed Attention V2,0.6944444179534912,0.574999988079071,0.5166666507720947,0.9916666746139526,0.6944444378217062,46296.0,3914,4.562500000004851
37,Fixed Attention V2,0.6472222208976746,0.46666666865348816,0.4791666567325592,0.9958333373069763,0.6472222208976746,46296.0,3914,4.046626666665057
11,Random Router,0.5902777910232544,0.574999988079071,0.5791666507720947,0.6166666746139526,0.5902777711550394,25931.033333333333,3752.0,3.9291633333315685
23,Random Router,0.6152777671813965,0.612500011920929,0.5916666388511658,0.6416666507720947,0.6152777671813965,26076.7,3752.0,3.0386800000011744
37,Random Router,0.5861111283302307,0.5458333492279053,0.574999988079071,0.637499988079071,0.5861111084620158,24464.233333333334,3752.0,2.7667166666674348
11,Learned Router,0.9027777910232544,1.0,0.7166666388511658,0.9916666746139526,0.9027777711550394,30914.266666666666,15348,11.229479999989659
23,Learned Router,0.9041666388511658,1.0,0.7208333611488342,0.9916666746139526,0.9041666785875956,22167.4,15348,12.866500000003118
37,Learned Router,0.9069444537162781,1.0,0.7250000238418579,0.9958333373069763,0.9069444537162781,27730.0,15348,12.402633333340418
11,Oracle Router,0.9027777910232544,1.0,0.7166666388511658,0.9916666746139526,0.9027777711550394,21112.0,3898.0,8.58170000001337
23,Oracle Router,0.9055555462837219,1.0,0.7250000238418579,0.9916666746139526,0.9055555661519369,21112.0,3898.0,10.031379999979132
37,Oracle Router,0.9069444537162781,1.0,0.7250000238418579,0.9958333373069763,0.9069444537162781,21112.0,3898.0,9.48491999996198
