seed,shift_type,severity,policy,accuracy,flops,decision_preservation
11,magnitude_scaling,mild,Balanced (λ=0.10),0.9319444444444445,27730.0,0.9986111111111111
11,magnitude_scaling,mild,Accuracy-first (λ=0.01),0.9319444444444445,28392.0,0.7486111111111111
11,magnitude_scaling,mild,Fixed Attention V2,0.6694444444444444,46296.0,0.4152777777777778
11,magnitude_scaling,mild,Fixed Graph,0.6152777777777778,8112.0,0.4166666666666667
11,magnitude_scaling,moderate,Balanced (λ=0.10),0.9097222222222222,27730.0,0.9986111111111111
11,magnitude_scaling,moderate,Accuracy-first (λ=0.01),0.9083333333333333,28338.966666666667,0.7472222222222222
11,magnitude_scaling,moderate,Fixed Attention V2,0.6680555555555555,46296.0,0.4152777777777778
11,magnitude_scaling,moderate,Fixed Graph,0.6013888888888889,8112.0,0.4166666666666667
11,magnitude_scaling,strong,Balanced (λ=0.10),0.8847222222222222,30117.4,0.9347222222222222
11,magnitude_scaling,strong,Accuracy-first (λ=0.01),0.8847222222222222,29766.966666666667,0.7944444444444444
11,magnitude_scaling,strong,Fixed Attention V2,0.6680555555555555,46296.0,0.4152777777777778
11,magnitude_scaling,strong,Fixed Graph,0.5736111111111111,8112.0,0.4166666666666667
11,additive_noise,mild,Balanced (λ=0.10),0.925,27678.1,1.0
11,additive_noise,mild,Accuracy-first (λ=0.01),0.9138888888888889,28392.0,0.7486111111111111
11,additive_noise,mild,Fixed Attention V2,0.6541666666666667,46296.0,0.4152777777777778
11,additive_noise,mild,Fixed Graph,0.6138888888888889,8112.0,0.4166666666666667
11,additive_noise,moderate,Balanced (λ=0.10),0.8694444444444445,29599.533333333333,0.9472222222222222
11,additive_noise,moderate,Accuracy-first (λ=0.01),0.8527777777777777,28498.066666666666,0.7458333333333333
11,additive_noise,moderate,Fixed Attention V2,0.6333333333333333,46296.0,0.4152777777777778
11,additive_noise,moderate,Fixed Graph,0.6,8112.0,0.4166666666666667
11,additive_noise,strong,Balanced (λ=0.10),0.7597222222222222,31114.833333333332,0.8986111111111111
11,additive_noise,strong,Accuracy-first (λ=0.01),0.7402777777777778,32707.633333333335,0.6430555555555556
11,additive_noise,strong,Fixed Attention V2,0.5680555555555555,46296.0,0.4152777777777778
11,additive_noise,strong,Fixed Graph,0.5930555555555556,8112.0,0.4166666666666667
11,variance_contrast,mild,Balanced (λ=0.10),0.9208333333333333,27262.9,0.9888888888888889
11,variance_contrast,mild,Accuracy-first (λ=0.01),0.9236111111111112,28338.966666666667,0.7472222222222222
11,variance_contrast,mild,Fixed Attention V2,0.6638888888888889,46296.0,0.4152777777777778
11,variance_contrast,mild,Fixed Graph,0.5944444444444444,8112.0,0.4166666666666667
11,variance_contrast,moderate,Balanced (λ=0.10),0.9208333333333333,27730.0,0.9986111111111111
11,variance_contrast,moderate,Accuracy-first (λ=0.01),0.9208333333333333,28392.0,0.7486111111111111
11,variance_contrast,moderate,Fixed Attention V2,0.6680555555555555,46296.0,0.4152777777777778
11,variance_contrast,moderate,Fixed Graph,0.5986111111111111,8112.0,0.4166666666666667
11,variance_contrast,strong,Balanced (λ=0.10),0.8819444444444444,27730.0,0.9986111111111111
11,variance_contrast,strong,Accuracy-first (λ=0.01),0.8805555555555555,28392.0,0.7486111111111111
11,variance_contrast,strong,Fixed Attention V2,0.6694444444444444,46296.0,0.4152777777777778
11,variance_contrast,strong,Fixed Graph,0.5611111111111111,8112.0,0.4166666666666667
23,magnitude_scaling,mild,Balanced (λ=0.10),0.9138888888888889,22096.0,1.0
