seed,policy,router_overhead_us,expert_exec_us,total_us
11,Fixed MLP,0.0,28.97500000472064,28.97500000472064
11,Fixed Graph,0.0,36.38749999481661,36.38749999481661
11,Fixed Attention V2,0.0,57.31874999886107,57.31874999886107
11,Balanced (λ=0.10),16.019166672170588,36.400895834655486,52.42006250682607
11,Accuracy-first (λ=0.01),16.019166672170588,40.89374999946611,56.912916671636694
23,Fixed MLP,0.0,35.35825000350693,35.35825000350693
23,Fixed Graph,0.0,30.24491666413572,30.24491666413572
23,Fixed Attention V2,0.0,57.27633333663107,57.27633333663107
23,Balanced (λ=0.10),15.877499993924479,36.30656250000659,52.18406249393107
23,Accuracy-first (λ=0.01),15.877499993924479,40.95983333475791,56.83733332868239
37,Fixed MLP,0.0,27.360916674297187,27.360916674297187
37,Fixed Graph,0.0,35.51483333467331,35.51483333467331
37,Fixed Attention V2,0.0,55.90841666162305,55.90841666162305
37,Balanced (λ=0.10),15.269249997800216,34.94593749943912,50.215187497239334
37,Accuracy-first (λ=0.01),15.269249997800216,39.594722223531186,54.8639722213314
