seed,family,policy,accuracy,mlp_selection,graph_selection,attention_selection,attention_v2_selection
11,F,Balanced (λ=0.10),1.0,0.25,0.25,0.25,0.25
11,F,Accuracy-first (λ=0.01),0.9833333492279053,0.5,0.0,0.0,0.5
11,R,Balanced (λ=0.10),0.7833333611488342,0.0,1.0,0.0,0.0
11,R,Accuracy-first (λ=0.01),0.7833333611488342,0.0,1.0,0.0,0.0
11,C,Balanced (λ=0.10),1.0,0.016666666666666666,0.0,0.0,0.9833333333333333
11,C,Accuracy-first (λ=0.01),1.0,0.0,0.0,0.0,1.0
11,FR,Balanced (λ=0.10),0.6916666626930237,0.2,0.5833333333333334,0.11666666666666667,0.1
11,FR,Accuracy-first (λ=0.01),0.675000011920929,0.15,0.26666666666666666,0.10833333333333334,0.475
11,RC,Balanced (λ=0.10),0.5083333253860474,0.025,0.0,0.0,0.975
11,RC,Accuracy-first (λ=0.01),0.5083333253860474,0.0,0.008333333333333333,0.0,0.9916666666666667
11,FC,Balanced (λ=0.10),0.5,0.008333333333333333,0.0,0.0,0.9916666666666667
11,FC,Accuracy-first (λ=0.01),0.5083333253860474,0.0,0.016666666666666666,0.0,0.9833333333333333
11,FRC,Balanced (λ=0.10),0.8083333373069763,0.0,0.008333333333333333,0.0,0.9916666666666667
11,FRC,Accuracy-first (λ=0.01),0.8083333373069763,0.0,0.008333333333333333,0.0,0.9916666666666667
23,F,Balanced (λ=0.10),1.0,0.75,0.25,0.0,0.0
23,F,Accuracy-first (λ=0.01),1.0,0.75,0.25,0.0,0.0
23,R,Balanced (λ=0.10),0.7833333611488342,0.0,1.0,0.0,0.0
23,R,Accuracy-first (λ=0.01),0.7833333611488342,0.008333333333333333,0.9916666666666667,0.0,0.0
23,C,Balanced (λ=0.10),0.9916666746139526,0.0,0.0,0.0,1.0
23,C,Accuracy-first (λ=0.01),0.9916666746139526,0.0,0.0,0.0,1.0
23,FR,Balanced (λ=0.10),0.6916666626930237,0.0,1.0,0.0,0.0
23,FR,Accuracy-first (λ=0.01),0.6833333373069763,0.025,0.975,0.0,0.0
23,RC,Balanced (λ=0.10),0.5083333253860474,0.0,0.0,0.0,1.0
23,RC,Accuracy-first (λ=0.01),0.5083333253860474,0.0,0.0,0.0,1.0
23,FC,Balanced (λ=0.10),0.5166666507720947,0.0,0.0,0.0,1.0
23,FC,Accuracy-first (λ=0.01),0.5166666507720947,0.0,0.0,0.0,1.0
23,FRC,Balanced (λ=0.10),0.8333333134651184,0.0,0.0,0.0,1.0
23,FRC,Accuracy-first (λ=0.01),0.8333333134651184,0.0,0.0,0.0,1.0
37,F,Balanced (λ=0.10),1.0,0.75,0.25,0.0,0.0
37,F,Accuracy-first (λ=0.01),1.0,0.25,0.25,0.25,0.25
37,R,Balanced (λ=0.10),0.7333333492279053,0.0,1.0,0.0,0.0
37,R,Accuracy-first (λ=0.01),0.7333333492279053,0.0,1.0,0.0,0.0
37,C,Balanced (λ=0.10),0.9916666746139526,0.0,0.008333333333333333,0.0,0.9916666666666667
37,C,Accuracy-first (λ=0.01),1.0,0.0,0.0,0.0,1.0
37,FR,Balanced (λ=0.10),0.5,0.11666666666666667,0.8833333333333333,0.0,0.0
37,FR,Accuracy-first (λ=0.01),0.7333333492279053,0.21666666666666667,0.425,0.23333333333333334,0.125
37,RC,Balanced (λ=0.10),0.5916666388511658,0.0,0.0,0.0,1.0
37,RC,Accuracy-first (λ=0.01),0.5916666388511658,0.0,0.0,0.0,1.0
37,FC,Balanced (λ=0.10),0.5,0.0,0.016666666666666666,0.0,0.9833333333333333
37,FC,Accuracy-first (λ=0.01),0.49166667461395264,0.0,0.008333333333333333,0.0,0.9916666666666667
37,FRC,Balanced (λ=0.10),0.7749999761581421,0.0,0.016666666666666666,0.0,0.9833333333333333
37,FRC,Accuracy-first (λ=0.01),0.7749999761581421,0.0,0.0,0.0,1.0
