seed,transformation,policy,accuracy,flops,decision_preservation
11,canonical,Balanced (λ=0.10),0.9416666666666667,27678.1,1.0
11,canonical,Accuracy-first (λ=0.01),0.9430555555555555,28392.0,1.0
11,canonical,Fixed Graph,0.6194444444444445,8112.0,1.0
11,canonical,Oracle Router,0.9430555555555555,22164.0,1.0
11,b1_token_perm,Balanced (λ=0.10),0.8555555555555555,27678.1,1.0
11,b1_token_perm,Accuracy-first (λ=0.01),0.8569444444444444,28392.0,0.7486111111111111
11,b1_token_perm,Fixed Graph,0.5305555555555556,8112.0,0.4166666666666667
11,b1_token_perm,Oracle Router,0.8569444444444444,22164.0,0.7486111111111111
11,b2_marker_var,Balanced (λ=0.10),0.9069444444444444,27678.1,1.0
11,b2_marker_var,Accuracy-first (λ=0.01),0.9083333333333333,28392.0,0.7486111111111111
11,b2_marker_var,Fixed Graph,0.5805555555555556,8112.0,0.4166666666666667
11,b2_marker_var,Oracle Router,0.9083333333333333,22164.0,0.7486111111111111
11,b3_seq_len_8,Balanced (λ=0.10),0.9222222222222223,27522.4,1.0
11,b3_seq_len_8,Accuracy-first (λ=0.01),0.925,28392.0,1.0
11,b3_seq_len_8,Fixed Graph,0.5833333333333334,8112.0,1.0
11,b3_seq_len_8,Oracle Router,0.9277777777777778,22164.0,1.0
11,b3_seq_len_16,Balanced (λ=0.10),0.9166666666666666,27416.333333333332,1.0
11,b3_seq_len_16,Accuracy-first (λ=0.01),0.9194444444444444,28285.933333333334,1.0
11,b3_seq_len_16,Fixed Graph,0.5916666666666667,8112.0,1.0
11,b3_seq_len_16,Oracle Router,0.9222222222222223,22164.0,1.0
11,b4_destructive,Balanced (λ=0.10),0.8652777777777778,27678.1,1.0
11,b4_destructive,Accuracy-first (λ=0.01),0.8666666666666667,28392.0,0.7486111111111111
11,b4_destructive,Fixed Graph,0.5305555555555556,8112.0,0.4166666666666667
11,b4_destructive,Oracle Router,0.8666666666666667,22164.0,0.7486111111111111
23,canonical,Balanced (λ=0.10),0.9125,22096.0,1.0
23,canonical,Accuracy-first (λ=0.01),0.9125,22096.0,1.0
23,canonical,Fixed Graph,0.5819444444444445,8112.0,1.0
23,canonical,Oracle Router,0.9125,22164.0,1.0
23,b1_token_perm,Balanced (λ=0.10),0.8444444444444444,22096.0,1.0
23,b1_token_perm,Accuracy-first (λ=0.01),0.8444444444444444,22096.0,1.0
23,b1_token_perm,Fixed Graph,0.5083333333333333,8112.0,0.4166666666666667
23,b1_token_perm,Oracle Router,0.8444444444444444,22164.0,0.9166666666666666
23,b2_marker_var,Balanced (λ=0.10),0.8861111111111111,22096.0,1.0
23,b2_marker_var,Accuracy-first (λ=0.01),0.8861111111111111,22096.0,1.0
23,b2_marker_var,Fixed Graph,0.5541666666666667,8112.0,0.4166666666666667
23,b2_marker_var,Oracle Router,0.8861111111111111,22164.0,0.9166666666666666
23,b3_seq_len_8,Balanced (λ=0.10),0.9277777777777778,22096.0,1.0
23,b3_seq_len_8,Accuracy-first (λ=0.01),0.9277777777777778,22096.0,1.0
23,b3_seq_len_8,Fixed Graph,0.6194444444444445,8112.0,1.0
23,b3_seq_len_8,Oracle Router,0.9277777777777778,22164.0,1.0
23,b3_seq_len_16,Balanced (λ=0.10),0.9222222222222223,22096.0,1.0
23,b3_seq_len_16,Accuracy-first (λ=0.01),0.9222222222222223,22096.0,1.0
23,b3_seq_len_16,Fixed Graph,0.5916666666666667,8112.0,1.0
23,b3_seq_len_16,Oracle Router,0.9222222222222223,22164.0,1.0
23,b4_destructive,Balanced (λ=0.10),0.8527777777777777,22096.0,1.0
23,b4_destructive,Accuracy-first (λ=0.01),0.8527777777777777,22096.0,1.0
23,b4_destructive,Fixed Graph,0.5277777777777778,8112.0,0.4166666666666667
23,b4_destructive,Oracle Router,0.8527777777777777,22164.0,0.9166666666666666
37,canonical,Balanced (λ=0.10),0.9236111111111112,22042.966666666667,1.0
37,canonical,Accuracy-first (λ=0.01),0.925,27730.0,1.0
37,canonical,Fixed Graph,0.5652777777777778,8112.0,1.0
37,canonical,Oracle Router,0.925,22164.0,1.0
37,b1_token_perm,Balanced (λ=0.10),0.8541666666666666,22042.966666666667,1.0
37,b1_token_perm,Accuracy-first (λ=0.01),0.8555555555555555,27730.0,0.8319444444444445
37,b1_token_perm,Fixed Graph,0.5236111111111111,8112.0,0.41805555555555557
37,b1_token_perm,Oracle Router,0.8555555555555555,22164.0,0.9152777777777777
37,b2_marker_var,Balanced (λ=0.10),0.8847222222222222,22042.966666666667,1.0
37,b2_marker_var,Accuracy-first (λ=0.01),0.8861111111111111,27730.0,0.8319444444444445
37,b2_marker_var,Fixed Graph,0.5402777777777777,8112.0,0.41805555555555557
37,b2_marker_var,Oracle Router,0.8861111111111111,22164.0,0.9152777777777777
37,b3_seq_len_8,Balanced (λ=0.10),0.8972222222222223,21473.2,1.0
37,b3_seq_len_8,Accuracy-first (λ=0.01),0.9083333333333333,27732.266666666666,1.0
37,b3_seq_len_8,Fixed Graph,0.5638888888888889,8112.0,1.0
37,b3_seq_len_8,Oracle Router,0.9083333333333333,22164.0,1.0
37,b3_seq_len_16,Balanced (λ=0.10),0.8861111111111111,21777.8,1.0
37,b3_seq_len_16,Accuracy-first (λ=0.01),0.8916666666666667,27730.0,1.0
37,b3_seq_len_16,Fixed Graph,0.5638888888888889,8112.0,1.0
37,b3_seq_len_16,Oracle Router,0.8916666666666667,22164.0,1.0
37,b4_destructive,Balanced (λ=0.10),0.8736111111111111,22042.966666666667,1.0
37,b4_destructive,Accuracy-first (λ=0.01),0.875,27730.0,0.8319444444444445
37,b4_destructive,Fixed Graph,0.5291666666666667,8112.0,0.41805555555555557
37,b4_destructive,Oracle Router,0.875,22164.0,0.9152777777777777
