sample_id,seed,lambda,task_family,target,oracle_expert,selected_expert,entropy,is_correct,route_matches_oracle,mlp_prob,graph_prob,attention_v1_prob,attention_v2_prob
0,11,0.0,relational,1,graph,graph,0.2193,1,1,0.0155,0.9570,0.0056,0.0220
1,11,0.0,feature,0,mlp,attention_v2,0.1077,1,0,0.0102,0.0088,0.0000,0.9809
2,11,0.0,contextual,1,attention_v2,attention_v2,0.0714,1,1,0.0018,0.0099,0.0003,0.9880
3,11,0.0,contextual,1,attention_v2,attention_v2,0.1373,1,1,0.0021,0.0250,0.0007,0.9723
4,11,0.0,contextual,1,attention_v2,attention_v2,0.0395,1,1,0.0011,0.0038,0.0007,0.9944
5,11,0.0,relational,1,graph,graph,0.1501,1,1,0.0131,0.9725,0.0017,0.0127
6,11,0.0,feature,1,mlp,attention_v2,0.0368,1,0,0.0009,0.0021,0.0020,0.9950
7,11,0.0,feature,1,mlp,mlp,0.7681,1,1,0.5408,0.4432,0.0120,0.0039
8,11,0.0,feature,0,mlp,attention,0.1288,1,0,0.0082,0.0148,0.9765,0.0005
9,11,0.0,contextual,1,attention_v2,attention_v2,0.1233,1,1,0.0050,0.0182,0.0001,0.9767
10,11,0.0,relational,1,graph,graph,0.4595,0,1,0.0445,0.8825,0.0056,0.0673
11,11,0.0,contextual,0,attention_v2,attention_v2,0.3521,1,1,0.0094,0.0707,0.0076,0.9123
12,11,0.0,contextual,0,attention_v2,attention_v2,0.1234,1,1,0.0035,0.0170,0.0020,0.9776
13,11,0.0,feature,1,mlp,mlp,0.7702,1,1,0.5471,0.4361,0.0127,0.0041
14,11,0.0,feature,1,mlp,attention_v2,0.0338,1,0,0.0008,0.0018,0.0019,0.9955
15,11,0.0,relational,0,graph,graph,0.3570,1,1,0.0171,0.9206,0.0190,0.0433
16,11,0.0,contextual,1,attention_v2,attention_v2,0.2073,1,1,0.0046,0.0376,0.0026,0.9552
17,11,0.0,contextual,1,attention_v2,attention_v2,0.1128,1,1,0.0031,0.0145,0.0023,0.9801
18,11,0.0,contextual,1,attention_v2,attention_v2,0.1187,1,1,0.0027,0.0183,0.0011,0.9779
19,11,0.0,feature,1,mlp,mlp,0.7725,1,1,0.5337,0.4494,0.0132,0.0037
20,11,0.0,feature,1,mlp,attention_v2,0.0348,1,0,0.0009,0.0019,0.0019,0.9953
21,11,0.0,feature,0,mlp,attention,0.1349,1,0,0.0086,0.0156,0.9752,0.0006
22,11,0.0,relational,0,graph,graph,0.1960,1,1,0.0172,0.9618,0.0023,0.0186
23,11,0.0,relational,1,graph,graph,0.1378,1,1,0.0089,0.9760,0.0042,0.0109
24,11,0.0,feature,0,mlp,attention,0.1342,1,0,0.0086,0.0155,0.9753,0.0006
25,11,0.0,feature,1,mlp,attention_v2,0.0342,1,0,0.0009,0.0019,0.0018,0.9954
26,11,0.0,contextual,1,attention_v2,attention_v2,0.0879,1,1,0.0023,0.0126,0.0005,0.9846
27,11,0.0,relational,1,graph,graph,0.3723,1,1,0.0272,0.9144,0.0099,0.0485
28,11,0.0,contextual,1,attention_v2,attention_v2,0.1531,1,1,0.0057,0.0234,0.0009,0.9700
29,11,0.0,contextual,1,attention_v2,attention_v2,0.0712,0,1,0.0017,0.0099,0.0003,0.9880
30,11,0.0,feature,1,mlp,mlp,0.7683,1,1,0.5395,0.4445,0.0123,0.0037
31,11,0.0,contextual,1,attention_v2,attention_v2,0.0527,1,1,0.0013,0.0069,0.0002,0.9916
32,11,0.0,contextual,0,attention_v2,attention_v2,0.0171,1,1,0.0005,0.0016,0.0001,0.9978
33,11,0.0,relational,1,graph,graph,0.3191,1,1,0.0315,0.9277,0.0028,0.0380
34,11,0.0,contextual,1,attention_v2,attention_v2,0.1640,1,1,0.0046,0.0266,0.0016,0.9672
35,11,0.0,feature,0,mlp,attention_v2,0.1119,1,0,0.0109,0.0090,0.0000,0.9800
36,11,0.0,relational,0,graph,graph,0.0610,0,1,0.0053,0.9907,0.0008,0.0031
37,11,0.0,relational,0,graph,graph,0.2289,1,1,0.0171,0.9546,0.0057,0.0225
38,11,0.0,contextual,1,attention_v2,attention_v2,0.3066,1,1,0.0107,0.0620,0.0022,0.9251
39,11,0.0,contextual,1,attention_v2,attention_v2,0.0727,1,1,0.0020,0.0092,0.0007,0.9881
40,11,0.0,feature,1,mlp,attention_v2,0.0351,1,0,0.0009,0.0020,0.0019,0.9953
41,11,0.0,relational,0,graph,graph,0.2877,1,1,0.0159,0.9402,0.0129,0.0311
42,11,0.0,relational,1,graph,graph,0.2111,1,1,0.0097,0.9598,0.0121,0.0183
43,11,0.0,contextual,0,attention_v2,attention_v2,0.0366,1,1,0.0010,0.0040,0.0003,0.9947
44,11,0.0,relational,0,graph,graph,0.2083,1,1,0.0110,0.9605,0.0101,0.0185
45,11,0.0,relational,1,graph,graph,0.1465,1,1,0.0126,0.9736,0.0023,0.0116
46,11,0.0,relational,0,graph,graph,0.1385,0,1,0.0088,0.9760,0.0048,0.0103
47,11,0.0,feature,1,mlp,mlp,0.7712,1,1,0.5274,0.4563,0.0127,0.0036
48,11,0.0,contextual,0,attention_v2,attention_v2,0.0871,1,1,0.0023,0.0122,0.0006,0.9849
49,11,0.0,feature,1,mlp,attention_v2,0.0347,1,0,0.0009,0.0019,0.0019,0.9953
50,11,0.0,feature,0,mlp,attention_v2,0.1176,1,0,0.0115,0.0097,0.0000,0.9788
51,11,0.0,relational,0,graph,graph,0.1522,1,1,0.0135,0.9722,0.0021,0.0122
52,11,0.0,contextual,1,attention_v2,attention_v2,0.1149,1,1,0.0030,0.0182,0.0005,0.9784
53,11,0.0,contextual,1,attention_v2,attention_v2,0.1609,1,1,0.0053,0.0271,0.0004,0.9672
54,11,0.0,feature,0,mlp,attention,0.1334,1,0,0.0085,0.0155,0.9755,0.0006
55,11,0.0,contextual,0,attention_v2,attention_v2,0.0302,1,1,0.0011,0.0031,0.0001,0.9958
56,11,0.0,feature,1,mlp,mlp,0.7702,1,1,0.5475,0.4353,0.0135,0.0036
57,11,0.0,relational,1,graph,graph,0.3048,1,1,0.0130,0.9357,0.0192,0.0321
58,11,0.0,relational,1,graph,graph,0.2365,1,1,0.0267,0.9503,0.0011,0.0219
59,11,0.0,contextual,1,attention_v2,attention_v2,0.2188,1,1,0.0069,0.0421,0.0004,0.9506
60,11,0.0,contextual,1,attention_v2,attention_v2,0.0375,1,1,0.0013,0.0041,0.0001,0.9945
61,11,0.0,feature,0,mlp,attention_v2,0.1132,1,0,0.0109,0.0093,0.0000,0.9797
62,11,0.0,relational,0,graph,graph,0.0919,0,1,0.0062,0.9853,0.0029,0.0055
63,11,0.0,relational,1,graph,graph,0.3403,0,1,0.0339,0.9217,0.0034,0.0410
64,11,0.0,contextual,1,attention_v2,attention_v2,0.0654,1,1,0.0014,0.0089,0.0004,0.9893
65,11,0.0,feature,1,mlp,attention_v2,0.0350,1,0,0.0009,0.0020,0.0018,0.9953
66,11,0.0,relational,0,graph,graph,0.2512,1,1,0.0203,0.9480,0.0041,0.0276
67,11,0.0,contextual,1,attention_v2,attention_v2,0.0212,1,1,0.0005,0.0021,0.0002,0.9972
68,11,0.0,contextual,1,attention_v2,attention_v2,0.1778,1,1,0.0086,0.0269,0.0006,0.9639
69,11,0.0,contextual,0,attention_v2,attention_v2,0.0276,1,1,0.0011,0.0025,0.0001,0.9962
70,11,0.0,feature,0,mlp,attention_v2,0.1166,1,0,0.0112,0.0098,0.0000,0.9790
71,11,0.0,feature,0,mlp,attention,0.1368,1,0,0.0088,0.0159,0.9747,0.0006
72,11,0.0,feature,1,mlp,attention_v2,0.0355,1,0,0.0009,0.0020,0.0019,0.9952
73,11,0.0,contextual,0,attention_v2,attention_v2,0.0733,1,1,0.0017,0.0099,0.0006,0.9878
74,11,0.0,relational,1,graph,graph,0.2828,1,1,0.0148,0.9412,0.0121,0.0319
75,11,0.0,feature,1,mlp,mlp,0.7684,1,1,0.5500,0.4334,0.0126,0.0040
76,11,0.0,feature,0,mlp,attention_v2,0.1037,1,0,0.0097,0.0085,0.0000,0.9818
77,11,0.0,feature,1,mlp,mlp,0.7720,1,1,0.5278,0.4558,0.0124,0.0040
